NoofAnalysts,AvgEstimate,LowEstimate,HighEstimate,YearAgoSales,SalesGrowth,CurrentYearFlag,Year,Ticker,stockId
17,3.18B,3.14B,3.23B,3.02B,5.20%,True,2021,PNR,11
16,3.32B,3.25B,3.49B,3.18B,4.70%,False,2021,PNR,11
12,2.71B,2.68B,2.76B,2.72B,-0.30%,True,2021,ALLE,37
12,2.83B,2.75B,2.92B,2.71B,4.40%,False,2021,ALLE,37
18,13.97B,13.83B,14.16B,12.57B,11.10%,True,2021,ITW,45
17,14.64B,14.46B,15.18B,13.97B,4.80%,False,2021,ITW,45
22,21.65B,21.05B,21.97B,17.2B,25.80%,True,2021,AMAT,48
20,23.03B,20.91B,24.65B,21.65B,6.40%,False,2021,AMAT,48
9,9.69B,9.53B,9.83B,9.38B,3.20%,True,2021,NWL,52
9,9.86B,9.63B,10.05B,9.69B,1.80%,False,2021,NWL,52
8,1.72B,1.68B,1.73B,1.68B,2.20%,True,2021,MAA,54
8,1.78B,1.74B,1.83B,1.72B,4.00%,False,2021,MAA,54
18,2.41B,2.12B,2.62B,2.57B,-6.40%,True,2021,EQR,80
13,2.46B,2.24B,2.69B,2.41B,2.20%,False,2021,EQR,80
18,15.89B,15.39B,16.55B,14.29B,11.20%,True,2021,EL,97
18,17.92B,16.69B,19.4B,15.89B,12.80%,False,2021,EL,97
19,17.84B,17.27B,18.55B,17.86B,-0.10%,True,2021,ETN,119
19,18.99B,17.48B,20.09B,17.84B,6.50%,False,2021,ETN,119
9,85.15B,82.67B,88.15B,86.03B,-1.00%,True,2021,BAC,134
10,89.17B,85.45B,95.62B,85.15B,4.70%,False,2021,BAC,134
20,3.11B,3.08B,3.14B,3.16B,-1.60%,True,2021,XLNX,137
22,3.47B,3.3B,3.71B,3.11B,11.40%,False,2021,XLNX,137
16,12.53B,12.5B,12.57B,11.67B,7.30%,True,2021,BAX,144
15,13.2B,13.08B,13.67B,12.53B,5.40%,False,2021,BAX,144
31,7.59B,7.52B,8.03B,6.75B,12.40%,True,2021,GPN,149
32,8.3B,8.14B,8.54B,7.59B,9.40%,False,2021,GPN,149
5,15.77B,15.06B,17.36B,14.58B,8.20%,True,2021,PFG,150
5,16.63B,15.52B,18.35B,15.77B,5.40%,False,2021,PFG,150
12,12.74B,10.49B,15.7B,10.57B,20.50%,True,2021,MAR,151
12,17.63B,11.82B,21.64B,12.74B,38.40%,False,2021,MAR,151
20,13.88B,10.67B,17.25B,9.05B,53.50%,True,2021,LUV,185
20,19.71B,16.77B,21.75B,13.88B,42.00%,False,2021,LUV,185
12,1.44B,1.37B,1.57B,1.2B,19.80%,True,2021,IPGP,187
10,1.64B,1.54B,1.79B,1.44B,13.70%,False,2021,IPGP,187
10,8B,7.97B,8.09B,7.41B,8.00%,True,2021,MSI,200
10,8.49B,8.37B,8.59B,8B,6.00%,False,2021,MSI,200
9,4.43B,4.2B,5.25B,5.06B,-12.50%,True,2021,PRGO,219
8,4.47B,4.29B,5.36B,4.43B,0.80%,False,2021,PRGO,219
14,5.24B,5.11B,5.38B,4.6B,13.80%,True,2021,MNST,257
15,5.76B,5.43B,5.99B,5.24B,10.00%,False,2021,MNST,257
12,5.06B,4.99B,5.18B,4.46B,13.60%,True,2021,ZBRA,276
12,5.3B,5.02B,5.45B,5.06B,4.70%,False,2021,ZBRA,276
21,3.21B,3.12B,3.33B,3.13B,2.50%,True,2021,ALB,321
21,3.67B,3.37B,4.07B,3.21B,14.50%,False,2021,ALB,321
18,12.55B,12.14B,12.87B,11.79B,6.40%,True,2021,ECL,323
18,13.3B,12.24B,13.77B,12.55B,6.00%,False,2021,ECL,323
15,165.72B,164.79B,169.92B,160.07B,3.50%,True,2021,CI,344
15,175.86B,173.72B,181.33B,165.72B,6.10%,False,2021,CI,344
16,16.76B,14.18B,17.5B,11.69B,43.40%,True,2021,SCHW,350
14,17.08B,15.75B,18.92B,16.76B,1.90%,False,2021,SCHW,350
18,5.03B,4.95B,5.08B,4.63B,8.60%,True,2021,FTV,361
17,5.3B,5.17B,5.52B,5.03B,5.40%,False,2021,FTV,361
12,118.01B,116.77B,120.69B,111.11B,6.20%,True,2021,CNC,375
12,124.06B,120.9B,130.9B,118.01B,5.10%,False,2021,CNC,375
18,9.16B,9.09B,9.2B,10.47B,-12.60%,True,2021,VFC,470
18,11.35B,10.98B,11.75B,9.16B,24.00%,False,2021,VFC,470
10,66.82B,64.7B,71.01B,64.36B,3.80%,True,2021,ADM,488
10,67.91B,65.07B,72.52B,66.82B,1.60%,False,2021,ADM,488
18,75.43B,74.4B,76.63B,70.95B,6.30%,True,2021,PG,541
18,78.03B,75.16B,79.79B,75.43B,3.40%,False,2021,PG,541
10,3.1B,3.07B,3.12B,2.71B,14.40%,True,2021,IDXX,543
9,3.42B,3.37B,3.44B,3.1B,10.40%,False,2021,IDXX,543
14,4B,3.85B,4.16B,3.78B,6.00%,True,2021,AWK,562
12,4.23B,4.06B,4.4B,4B,5.60%,False,2021,AWK,562
29,16.57B,15.94B,17.28B,14.46B,14.60%,True,2021,TXN,579
27,17.36B,16.23B,18.71B,16.57B,4.80%,False,2021,TXN,579
8,64.88B,63.47B,67.07B,66.47B,-2.40%,True,2021,MET,619
7,66.71B,64.68B,67.98B,64.88B,2.80%,False,2021,MET,619
11,13.79B,11.72B,14.29B,13.57B,1.70%,True,2021,J,623
10,14.68B,12.5B,15.53B,13.79B,6.40%,False,2021,J,623
11,9.28B,9.11B,9.44B,9.36B,-0.80%,True,2021,HII,680
11,9.59B,9.42B,9.71B,9.28B,3.30%,False,2021,HII,680
3,6.33B,5.78B,6.6B,5.99B,5.50%,True,2021,AJG,690
6,7.28B,6.58B,7.69B,6.33B,15.00%,False,2021,AJG,690
11,7.03B,6.85B,7.32B,6.66B,5.50%,True,2021,PKG,691
9,7.1B,6.87B,7.4B,7.03B,1.10%,False,2021,PKG,691
17,9.39B,9.04B,9.73B,8.6B,9.20%,True,2021,APH,704
16,9.97B,9.59B,10.45B,9.39B,6.20%,False,2021,APH,704
13,1.22B,1.19B,1.42B,1.12B,9.50%,True,2021,TYL,732
11,1.36B,1.28B,1.8B,1.22B,11.10%,False,2021,TYL,732
15,19.56B,19.36B,20.3B,17.12B,14.30%,True,2021,BDX,770
13,19.61B,19.13B,20.4B,19.56B,0.30%,False,2021,BDX,770
13,3.57B,3.44B,3.67B,3.73B,-4.20%,True,2021,FLS,794
12,3.76B,3.58B,3.95B,3.57B,5.30%,False,2021,FLS,794
17,17.4B,16.78B,17.8B,16.47B,5.60%,True,2021,CL,795
16,18.03B,17.2B,18.25B,17.4B,3.60%,False,2021,CL,795
19,5.1B,5.04B,5.18B,4.83B,5.50%,True,2021,WU,805
18,5.25B,5.15B,5.39B,5.1B,2.90%,False,2021,WU,805
12,3.35B,3.33B,3.41B,3.24B,3.60%,True,2021,CTXS,812
12,3.64B,3.5B,4.06B,3.35B,8.60%,False,2021,CTXS,812
18,14.89B,14.69B,14.98B,14.59B,2.00%,True,2021,ADP,875
18,15.83B,15.32B,16.27B,14.89B,6.30%,False,2021,ADP,875
