endDate,totalLiab,totalStockholderEquity,totalAssets,commonStock,otherAssets,cash,totalCurrentLiabilities,totalCurrentAssets,netTangibleAssets,accountsPayable,capitalSurplus,deferredLongTermLiab,otherCurrentLiab,retainedEarnings,otherLiab,goodWill,treasuryStock,otherStockholderEquity,propertyPlantEquipment,longTermInvestments,shortTermInvestments,netReceivables,inventory,intangibleAssets,stockId,ticker,otherCurrentAssets,deferredLongTermAssetCharges,shortLongTermDebt,longTermDebt,minorityInterest
2020-12-31,512806000.0,3488100000.0,4000906000.0,3488100000.0,1340656000.0,2660250000.0,388138000.0,2660250000.0,3488100000.0,388138000.0,,,,,,,,,,,,,,,49352,SGEN,,,,,
2019-12-31,329579000.0,1876287000.0,2205866000.0,172000.0,312614000.0,274562000.0,259357000.0,1176641000.0,1601616000.0,52292000.0,3359124000.0,300000000.0,37662000.0,-1483238000.0,2615000.0,274671000.0,229000.0,229000.0,220721000.0,221219000.0,536493000.0,236001000.0,85932000.0,,49352,SGEN,,,,,
2018-12-31,229386000.0,1273943000.0,1503329000.0,160000.0,308237000.0,78186000.0,225072000.0,653595000.0,999272000.0,44179000.0,2598411000.0,300000000.0,66508000.0,-1324588000.0,4314000.0,274671000.0,-40000.0,-40000.0,103820000.0,163006000.0,332486000.0,146281000.0,53239000.0,,49352,SGEN,,,,,
2017-12-31,200380000.0,677569000.0,877949000.0,144000.0,3010000.0,160945000.0,167129000.0,577061000.0,676805000.0,27373000.0,1806159000.0,,55437000.0,-1192570000.0,33251000.0,,63836000.0,63836000.0,103756000.0,193358000.0,252226000.0,97474000.0,59978000.0,764000.0,49352,SGEN,,,,,
2020-12-31,909350000.0,107319000.0,1016669000.0,90000.0,826974000.0,153901000.0,909350000.0,177789000.0,105736000.0,905514000.0,93162000.0,,9000.0,14067000.0,,,,,9151000.0,1172000.0,16412000.0,,,1583000.0,49355,BSVN,7476000.0,,,,
2019-12-31,766266000.0,100126000.0,866392000.0,101000.0,701619000.0,99128000.0,758476000.0,152260000.0,98337000.0,757483000.0,92391000.0,,357000.0,7634000.0,7790000.0,1011000.0,,,9624000.0,1100000.0,30147000.0,,,778000.0,49355,BSVN,22985000.0,1089000.0,,,
2018-12-31,682045000.0,88466000.0,770511000.0,102000.0,594699000.0,128090000.0,678277000.0,165009000.0,86471000.0,675903000.0,80275000.0,,1913000.0,8089000.0,3768000.0,1011000.0,,,7753000.0,1055000.0,31759000.0,,110000.0,984000.0,49355,BSVN,5050000.0,1069000.0,,,
2017-12-31,634418000.0,69176000.0,703594000.0,73000.0,556358000.0,100054000.0,626235000.0,134384000.0,66975000.0,625831000.0,6987000.0,,,62116000.0,2583000.0,1011000.0,,,9602000.0,1049000.0,30168000.0,,100000.0,1190000.0,49355,BSVN,4062000.0,,800000.0,5600000.0,
2019-12-31,12280806000.0,8767529000.0,23854191000.0,2081138000.0,1128556000.0,5753268000.0,11209055000.0,17382304000.0,8375972000.0,3433856000.0,,699044000.0,4794835000.0,6761109000.0,1040377000.0,212636000.0,-74718000.0,-74718000.0,4625828000.0,325946000.0,365778000.0,8117981000.0,2824137000.0,178921000.0,49357,CYD,258092000.0,422960000.0,2055046000.0,,2805856000.0
2018-12-31,10510410000.0,8395849000.0,21657964000.0,2081138000.0,962831000.0,5559890000.0,9559250000.0,16420891000.0,8173091000.0,2903360000.0,,195879000.0,3781163000.0,6394953000.0,936048000.0,212636000.0,-80242000.0,-80242000.0,3756542000.0,294942000.0,448802000.0,7661385000.0,2517864000.0,10122000.0,49357,CYD,114561000.0,361207000.0,2001014000.0,15078000.0,2751705000.0
2017-12-31,10053155000.0,8334266000.0,21015059000.0,2081138000.0,701139000.0,5390324000.0,9387817000.0,16008979000.0,8121630000.0,2657693000.0,,10425000.0,4330319000.0,6297146000.0,638951000.0,212636000.0,-44018000.0,-44018000.0,3824018000.0,268287000.0,538788000.0,7336931000.0,2572745000.0,,49357,CYD,96295000.0,315390000.0,1600000000.0,26341000.0,2627617000.0
2017-01-01,8462092000.0,7735651000.0,18515746000.0,2059076000.0,720856000.0,3653914000.0,7849900000.0,13347943000.0,7523015000.0,6552999000.0,,50122000.0,402765000.0,5657181000.0,595852000.0,212636000.0,19394000.0,19394000.0,4127185000.0,107126000.0,363043000.0,7493621000.0,1663879000.0,,49357,CYD,173486000.0,282212000.0,894136000.0,16270000.0,2317982000.0
2019-12-28,174448000.0,73211000.0,247659000.0,47585000.0,17787000.0,769000.0,51358000.0,139595000.0,73211000.0,16084000.0,157547000.0,,4685000.0,-131113000.0,18488000.0,,-808000.0,-808000.0,90277000.0,,,37138000.0,95509000.0,,49359,DXYN,,,3514000.0,67007000.0,
