endDate,totalLiab,totalStockholderEquity,totalAssets,commonStock,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,shortTermInvestments,netReceivables,inventory,accountsPayable,capitalSurplus,otherCurrentLiab,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,deferredLongTermAssetCharges,otherStockholderEquity,stockId,ticker,intangibleAssets,minorityInterest,goodWill,longTermDebt,longTermInvestments,shortLongTermDebt,deferredLongTermLiab
2020-12-31,17870000000.0,10415100000.0,28285100000.0,10415100000.0,3539600000.0,5601100000.0,5231900000.0,7253400000.0,10415100000.0,1294400000.0,1197500000.0,1221900000.0,5601100000.0,,,,,,,,,,49382,PCAR,,,,,,,
2019-12-31,18655000000.0,9706100000.0,28361100000.0,346300000.0,4007300000.0,8999600000.0,3462100000.0,20733300000.0,9706100000.0,1162100000.0,1306100000.0,1153200000.0,1115700000.0,61400000.0,2331400000.0,388000000.0,10398500000.0,1567100000.0,-1100100000.0,810900000.0,115400000.0,-1100100000.0,49382,PCAR,,,,,,,
2018-12-31,16889500000.0,8592900000.0,25482400000.0,346600000.0,3279200000.0,7669500000.0,3267500000.0,18483500000.0,8592900000.0,1020400000.0,1314400000.0,1184700000.0,1304900000.0,69400000.0,1670900000.0,364700000.0,9275400000.0,1840900000.0,-1098500000.0,651900000.0,97100000.0,-1098500000.0,49382,PCAR,,,,,,,
2017-12-31,15389700000.0,8050500000.0,23440200000.0,351800000.0,2254800000.0,6404800000.0,3730100000.0,16177800000.0,8050500000.0,1367100000.0,1127900000.0,928400000.0,1154700000.0,123200000.0,1319400000.0,404400000.0,8369100000.0,2156000000.0,-793600000.0,425200000.0,71000000.0,-793600000.0,49382,PCAR,,,,,,,
2020-12-31,6401500000.0,3168400000.0,9611800000.0,236600000.0,1684600000.0,2483100000.0,1139400000.0,2478300000.0,-2420100000.0,,630600000.0,,159100000.0,1470700000.0,720800000.0,59000000.0,4185400000.0,641100000.0,-2724300000.0,405600000.0,,-177300000.0,49419,EFX,1092700000.0,41900000.0,4495800000.0,3277300000.0,,,
2019-12-31,5286100000.0,2578600000.0,7909000000.0,236600000.0,401300000.0,1359100000.0,947600000.0,1209400000.0,-2869200000.0,,680100000.0,,148300000.0,1405100000.0,842600000.0,39900000.0,4131800000.0,467300000.0,-3194900000.0,304200000.0,9200000.0,-637500000.0,49419,EFX,1139500000.0,44300000.0,4308300000.0,3379500000.0,,,
2018-12-31,3997500000.0,3107800000.0,7153200000.0,236600000.0,223600000.0,826800000.0,764800000.0,902300000.0,-2215900000.0,,538500000.0,,175700000.0,1356600000.0,250700000.0,40200000.0,4717800000.0,540100000.0,-3203200000.0,162400000.0,11100000.0,-632200000.0,49419,EFX,1194000000.0,47900000.0,4129700000.0,2630600000.0,,,
2017-12-31,3994400000.0,3174400000.0,7233400000.0,236600000.0,336400000.0,1673500000.0,567000000.0,998400000.0,-2351600000.0,,534000000.0,,110300000.0,1332700000.0,317600000.0,33700000.0,4600600000.0,581900000.0,-2995500000.0,142000000.0,5900000.0,-417900000.0,49419,EFX,1342000000.0,64600000.0,4184000000.0,1739000000.0,13500000.0,,
2019-12-31,2285777000.0,4997911000.0,11365444000.0,17442000.0,409743000.0,385299000.0,9807605000.0,433554000.0,4791975000.0,,,,,5710934000.0,,23811000.0,-665575000.0,,-64890000.0,150533000.0,,-64890000.0,49424,PSA,31336000.0,16756000.0,174600000.0,1900478000.0,767816000.0,2015000.0,
2018-12-31,1783542000.0,5094478000.0,10928270000.0,17413000.0,361218000.0,371259000.0,9442111000.0,384019000.0,4884622000.0,,,,,5718485000.0,,22801000.0,-577360000.0,,-64060000.0,108296000.0,,-64060000.0,49424,PSA,35256000.0,25250000.0,174600000.0,1412283000.0,783988000.0,,
