endDate,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,stockId,ticker,type,minorityInterest,shortLongTermDebt,longTermInvestments,shortTermInvestments,deferredLongTermLiab
2020-12-31,325900000.0,1680700000.0,2090900000.0,2106300000.0,266300000.0,4197200000.0,1700000.0,6900000.0,631200000.0,413700000.0,2392200000.0,-207300000.0,119200000.0,82100000.0,772500000.0,27400000.0,-207300000.0,384800000.0,975100000.0,-611800000.0,417600000.0,839600000.0,420000000.0,245100000.0,11,PNR,yearly,,,,,
2019-12-31,339200000.0,1777700000.0,2185600000.0,1953900000.0,250400000.0,4139500000.0,1700000.0,9800000.0,401000000.0,346400000.0,2258300000.0,-226500000.0,119700000.0,82500000.0,749000000.0,29600000.0,-226500000.0,360400000.0,1061900000.0,-643600000.0,543900000.0,1029100000.0,377400000.0,325100000.0,11,PNR,yearly,,,,,
2018-12-31,276300000.0,1893800000.0,1970400000.0,1836100000.0,251500000.0,3806500000.0,1700000.0,16200000.0,169200000.0,364100000.0,2072700000.0,-228600000.0,145500000.0,74300000.0,818700000.0,26200000.0,-228600000.0,272600000.0,1039400000.0,-512900000.0,524700000.0,787600000.0,387500000.0,378600000.0,11,PNR,yearly,,,,,
2017-12-31,321800000.0,2797700000.0,3595900000.0,5037800000.0,712300000.0,8633700000.0,1800000.0,719600000.0,2481700000.0,955800000.0,2112800000.0,-243400000.0,4170500000.0,86300000.0,1199400000.0,29000000.0,-243400000.0,279800000.0,1748800000.0,2603200000.0,534600000.0,1440700000.0,356900000.0,321500000.0,11,PNR,yearly,,,,,
2020-12-31,487100000.0,,2236800000.0,829400000.0,25400000.0,3069400000.0,900000.0,33900000.0,985600000.0,219600000.0,819000000.0,-157100000.0,217700000.0,480400000.0,521500000.0,126700000.0,-157100000.0,386900000.0,1145000000.0,-476700000.0,347600000.0,1429400000.0,283100000.0,220400000.0,37,ALLE,yearly,3200000.0,200000.0,13700000.0,,
2019-12-31,510900000.0,,2206800000.0,757400000.0,12800000.0,2967200000.0,900000.0,32600000.0,975100000.0,216600000.0,873300000.0,-218600000.0,190300000.0,355300000.0,507000000.0,112500000.0,-218600000.0,372800000.0,1001800000.0,-626800000.0,344000000.0,1427600000.0,269900000.0,221000000.0,37,ALLE,yearly,3000000.0,100000.0,18100000.0,,
2018-12-31,547100000.0,,2156200000.0,651000000.0,34800000.0,2810200000.0,900000.0,27200000.0,873600000.0,225900000.0,883000000.0,-223500000.0,156600000.0,283800000.0,520800000.0,84600000.0,-223500000.0,276700000.0,931600000.0,-779100000.0,340300000.0,1409500000.0,280300000.0,235000000.0,37,ALLE,yearly,3000000.0,35300000.0,15200000.0,,
2017-12-31,394300000.0,9100000.0,2136500000.0,401600000.0,33000000.0,2542000000.0,1000000.0,17900000.0,544400000.0,233400000.0,761200000.0,-152900000.0,96300000.0,466200000.0,460800000.0,35400000.0,-152900000.0,252200000.0,1032700000.0,-753900000.0,308800000.0,1442300000.0,239800000.0,188300000.0,37,ALLE,yearly,3900000.0,35000000.0,5300000.0,,
2020-12-31,781000000.0,1362000000.0,12430000000.0,3181000000.0,688000000.0,15612000000.0,6000000.0,149000000.0,23114000000.0,1936000000.0,4690000000.0,-21301000000.0,1625000000.0,2564000000.0,2589000000.0,533000000.0,-1642000000.0,1993000000.0,6523000000.0,-2290000000.0,2621000000.0,7772000000.0,1189000000.0,534000000.0,45,ITW,yearly,1000000.0,350000000.0,,,
2019-12-31,851000000.0,1304000000.0,12038000000.0,3026000000.0,694000000.0,15068000000.0,6000000.0,497000000.0,22403000000.0,2002000000.0,4492000000.0,-20687000000.0,1537000000.0,1981000000.0,2154000000.0,516000000.0,-1705000000.0,1935000000.0,6253000000.0,-2317000000.0,2611000000.0,7754000000.0,1164000000.0,472000000.0,45,ITW,yearly,4000000.0,4000000.0,,,
2018-12-31,1084000000.0,1253000000.0,11612000000.0,3254000000.0,656000000.0,14870000000.0,6000000.0,157000000.0,21217000000.0,2041000000.0,4633000000.0,-19222000000.0,1533000000.0,1504000000.0,3542000000.0,554000000.0,-1677000000.0,1791000000.0,5778000000.0,-2463000000.0,2799000000.0,6029000000.0,1318000000.0,524000000.0,45,ITW,yearly,4000000.0,1350000000.0,51000000.0,,
2017-12-31,1272000000.0,1218000000.0,12191000000.0,4585000000.0,605000000.0,16780000000.0,6000000.0,145000000.0,20210000000.0,1660000000.0,4752000000.0,-16849000000.0,1647000000.0,3094000000.0,3053000000.0,505000000.0,-1287000000.0,1778000000.0,7278000000.0,-1439000000.0,2819000000.0,7478000000.0,1220000000.0,590000000.0,45,ITW,yearly,4000000.0,1000000.0,53000000.0,,
2020-10-25,153000000.0,7904000000.0,11775000000.0,10578000000.0,2402000000.0,22353000000.0,9000000.0,162000000.0,27209000000.0,1673000000.0,3466000000.0,-24544000000.0,1971000000.0,5351000000.0,4459000000.0,1711000000.0,-299000000.0,1856000000.0,13369000000.0,6959000000.0,3111000000.0,5448000000.0,3904000000.0,1124000000.0,48,AMAT,yearly,,,1538000000.0,387000000.0,
2019-10-27,156000000.0,7595000000.0,10810000000.0,8214000000.0,2237000000.0,19024000000.0,9000000.0,96000000.0,24386000000.0,1650000000.0,3399000000.0,-23776000000.0,2031000000.0,3129000000.0,4447000000.0,1766000000.0,-180000000.0,1529000000.0,10206000000.0,4659000000.0,2641000000.0,4713000000.0,3474000000.0,958000000.0,48,AMAT,yearly,,600000000.0,1703000000.0,489000000.0,
2018-10-28,213000000.0,7274000000.0,10788000000.0,6845000000.0,2137000000.0,17633000000.0,10000000.0,40000000.0,20880000000.0,1557000000.0,3368000000.0,-21319000000.0,473000000.0,3440000000.0,3922000000.0,225000000.0,-125000000.0,1407000000.0,10604000000.0,3264000000.0,2422000000.0,5309000000.0,3721000000.0,996000000.0,48,AMAT,yearly,,,1568000000.0,590000000.0,
2017-10-29,412000000.0,7056000000.0,10070000000.0,9349000000.0,2396000000.0,19419000000.0,11000000.0,57000000.0,18258000000.0,651000000.0,3368000000.0,-15976000000.0,512000000.0,5010000000.0,4115000000.0,385000000.0,-64000000.0,1066000000.0,12918000000.0,5569000000.0,2338000000.0,5304000000.0,2930000000.0,945000000.0,48,AMAT,yearly,,,1143000000.0,2266000000.0,
2020-12-31,3564000000.0,8078000000.0,10800000000.0,3874000000.0,102000000.0,14700000000.0,448000000.0,61000000.0,-3174000000.0,1464000000.0,3553000000.0,-1478000000.0,1242000000.0,981000000.0,3621000000.0,838000000.0,-880000000.0,1706000000.0,4628000000.0,-3243000000.0,1678000000.0,5238000000.0,1638000000.0,1526000000.0,52,NWL,yearly,26000000.0,463000000.0,7000000.0,,
