endDate,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,ticker,intangibleAssets,goodWill,capitalSurplus,deferredLongTermAssetCharges,minorityInterest,deferredLongTermLiab
2020-09-26,258549000000.0,65339000000.0,47867000000.0,323888000000.0,50779000000.0,11264000000.0,14966000000.0,46108000000.0,-406000000.0,33952000000.0,38016000000.0,105392000000.0,8773000000.0,-406000000.0,45336000000.0,143713000000.0,100887000000.0,65339000000.0,52927000000.0,37445000000.0,98667000000.0,4061000000.0,42296000000.0,AAPL,,,,,,
2019-09-28,248028000000.0,90488000000.0,43242000000.0,338516000000.0,45174000000.0,12352000000.0,45898000000.0,50503000000.0,-584000000.0,32978000000.0,48844000000.0,105718000000.0,10260000000.0,-584000000.0,37378000000.0,162819000000.0,105341000000.0,90488000000.0,51713000000.0,45804000000.0,91807000000.0,4106000000.0,46236000000.0,AAPL,,,,,,
2018-09-29,258578000000.0,107147000000.0,39293000000.0,365725000000.0,40201000000.0,12087000000.0,70400000000.0,48914000000.0,-3454000000.0,22283000000.0,25913000000.0,115929000000.0,8784000000.0,-3454000000.0,41304000000.0,131339000000.0,170799000000.0,107147000000.0,40388000000.0,48995000000.0,93735000000.0,3956000000.0,55888000000.0,AAPL,,,,,,
2017-09-30,241272000000.0,134047000000.0,38099000000.0,375319000000.0,35867000000.0,13936000000.0,98330000000.0,43251000000.0,-150000000.0,18177000000.0,20289000000.0,100814000000.0,6496000000.0,-150000000.0,33783000000.0,128645000000.0,194714000000.0,134047000000.0,53892000000.0,35673000000.0,97207000000.0,4855000000.0,44242000000.0,AAPL,,,,,,
2020-12-31,53539000000.0,9409000000.0,2320000000.0,62948000000.0,31802000000.0,124000000.0,-21408000000.0,8685000000.0,-985000000.0,4055000000.0,6266000000.0,11653000000.0,91000000.0,-985000000.0,5297000000.0,21144000000.0,1176000000.0,-21867000000.0,4381000000.0,5324000000.0,32895000000.0,3893000000.0,1421000000.0,AMGN,16587000000.0,14689000000.0,,,,
2019-12-31,50034000000.0,9673000000.0,2067000000.0,59707000000.0,31531000000.0,354000000.0,-21330000000.0,9861000000.0,-528000000.0,955000000.0,6037000000.0,12835000000.0,2953000000.0,-528000000.0,5397000000.0,18440000000.0,799000000.0,-24443000000.0,2874000000.0,4652000000.0,26950000000.0,3584000000.0,1371000000.0,AMGN,19413000000.0,14703000000.0,,,,
2018-12-31,53916000000.0,12500000000.0,1449000000.0,66416000000.0,31246000000.0,266000000.0,-17977000000.0,10918000000.0,-769000000.0,1015000000.0,6945000000.0,13488000000.0,4419000000.0,-769000000.0,4958000000.0,37618000000.0,683000000.0,-9642000000.0,22359000000.0,4201000000.0,29510000000.0,2940000000.0,1207000000.0,AMGN,7443000000.0,14699000000.0,,,,
2017-12-31,54713000000.0,25241000000.0,1408000000.0,79954000000.0,30992000000.0,1727000000.0,-5072000000.0,11503000000.0,-679000000.0,1092000000.0,3800000000.0,9020000000.0,1152000000.0,-679000000.0,4989000000.0,49476000000.0,1027000000.0,1871000000.0,37878000000.0,3237000000.0,34190000000.0,2834000000.0,1352000000.0,AMGN,8609000000.0,14761000000.0,,,,
2020-12-31,168383000000.0,22984000000.0,943000000.0,191367000000.0,161000000.0,606000000.0,13837000000.0,21602000000.0,-2895000000.0,12384000000.0,32267000000.0,102866000000.0,,-2895000000.0,5015000000.0,147073000000.0,22778000000.0,18867000000.0,92000000.0,114077000000.0,42935000000.0,,96319000000.0,AXP,265000000.0,3852000000.0,11881000000.0,2700000000.0,,
2019-12-31,175250000000.0,23071000000.0,1122000000.0,198321000000.0,163000000.0,514000000.0,13871000000.0,19906000000.0,-2737000000.0,9413000000.0,23845000000.0,97509000000.0,,-2737000000.0,4834000000.0,170932000000.0,9560000000.0,19489000000.0,87000000.0,146418000000.0,57810000000.0,,86025000000.0,AXP,267000000.0,3315000000.0,11774000000.0,1461000000.0,,
2018-12-31,166312000000.0,22290000000.0,1079000000.0,188602000000.0,170000000.0,363000000.0,12499000000.0,18252000000.0,-2597000000.0,8229000000.0,27381000000.0,89637000000.0,,-2597000000.0,4416000000.0,166920000000.0,5690000000.0,18943000000.0,64000000.0,138716000000.0,58404000000.0,,82215000000.0,AXP,275000000.0,3072000000.0,12218000000.0,1306000000.0,,
2017-12-31,162935000000.0,18261000000.0,4258000000.0,181196000000.0,172000000.0,1020000000.0,8307000000.0,13808000000.0,-2428000000.0,3671000000.0,32879000000.0,93323000000.0,,-2428000000.0,4329000000.0,165106000000.0,4182000000.0,14353000000.0,48000000.0,131035000000.0,55781000000.0,,79109000000.0,AXP,899000000.0,3009000000.0,12210000000.0,1637000000.0,,
2020-12-31,170211000000.0,-18316000000.0,60252000000.0,152136000000.0,5061000000.0,4286000000.0,38610000000.0,19957000000.0,-69774000000.0,3546000000.0,7752000000.0,87280000000.0,793000000.0,-17133000000.0,13072000000.0,121642000000.0,1016000000.0,-29240000000.0,17838000000.0,9950000000.0,60987000000.0,81715000000.0,12928000000.0,BA,2843000000.0,8081000000.0,7787000000.0,86000000.0,241000000.0,
2019-12-31,141925000000.0,-8617000000.0,63717000000.0,133625000000.0,5061000000.0,3106000000.0,50644000000.0,23673000000.0,-71067000000.0,3086000000.0,9485000000.0,97312000000.0,6840000000.0,-16153000000.0,13684000000.0,102229000000.0,1092000000.0,-20015000000.0,545000000.0,12309000000.0,18233000000.0,76622000000.0,15553000000.0,BA,3338000000.0,8060000000.0,6745000000.0,683000000.0,317000000.0,
2018-12-31,116949000000.0,339000000.0,54936000000.0,117359000000.0,5061000000.0,2335000000.0,55941000000.0,24702000000.0,-67431000000.0,2110000000.0,7637000000.0,81590000000.0,2690000000.0,-15083000000.0,12645000000.0,87830000000.0,1087000000.0,-10930000000.0,927000000.0,13904000000.0,8501000000.0,62567000000.0,12916000000.0,BA,3429000000.0,7840000000.0,6768000000.0,284000000.0,71000000.0,
2017-12-31,110649000000.0,1656000000.0,51260000000.0,112362000000.0,5061000000.0,2417000000.0,49618000000.0,26219000000.0,-59827000000.0,2348000000.0,8813000000.0,74648000000.0,383000000.0,-16373000000.0,12672000000.0,85194000000.0,1260000000.0,-6476000000.0,1179000000.0,11088000000.0,8021000000.0,61388000000.0,12202000000.0,BA,2573000000.0,5559000000.0,6804000000.0,321000000.0,57000000.0,
2020-12-31,62946000000.0,15331000000.0,3687000000.0,78324000000.0,6230000000.0,,35167000000.0,11230000000.0,-26066000000.0,6535000000.0,8822000000.0,25717000000.0,1420000000.0,-888000000.0,8309000000.0,39464000000.0,,7629000000.0,,7317000000.0,9749000000.0,11402000000.0,6128000000.0,CAT,1308000000.0,6394000000.0,,1523000000.0,47000000.0,
