endDate,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToAccountReceivables,changeToNetincome,capitalExpenditures,changeToOperatingActivities,otherCashflowsFromInvestingActivities,changeToInventory,stockId,ticker,otherCashflowsFromFinancingActivities
2020-12-31,-244600000.0,0.0,-1875800000.0,-580300000.0,-1808500000.0,53700000.0,1298400000.0,-635500000.0,-42100000.0,61600000.0,2987200000.0,1049000000.0,-1239800000.0,891200000.0,-251400000.0,-1638400000.0,,,,49382,PCAR,
2019-12-31,-135100000.0,-27600000.0,-2207400000.0,1271400000.0,83400000.0,60800000.0,2387900000.0,739200000.0,-110200000.0,2900000.0,2860300000.0,471900000.0,-435760000.0,-592500000.0,77100000.0,-1970800000.0,-86500000.0,1100000.0,24600000.0,49382,PCAR,
2018-12-31,315600000.0,528900000.0,-1930700000.0,1210500000.0,71100000.0,19300000.0,2195100000.0,1071200000.0,-354400000.0,-61500000.0,2992300000.0,465900000.0,-558300000.0,-811400000.0,-19800000.0,-1952300000.0,378100000.0,-1900000.0,-332700000.0,49382,PCAR,
2017-12-31,-190800000.0,333600000.0,-1964600000.0,125200000.0,-393800000.0,39300000.0,1675200000.0,449000000.0,-354400000.0,91600000.0,2715800000.0,1107500000.0,-287300000.0,-465700000.0,-178600000.0,-1846600000.0,393700000.0,5200000.0,-149900000.0,49382,PCAR,
2020-12-31,-10000000.0,0.0,-492700000.0,997600000.0,810800000.0,41700000.0,520100000.0,1283300000.0,-15900000.0,19000000.0,946200000.0,399300000.0,-189500000.0,-93700000.0,-22200000.0,-421300000.0,142700000.0,,,49419,EFX,-23100000.0
2019-12-31,-25000000.0,0.0,-697500000.0,746500000.0,557900000.0,22300000.0,-398800000.0,177700000.0,-10500000.0,3500000.0,313800000.0,337300000.0,-188700000.0,-61300000.0,-31500000.0,-399600000.0,468100000.0,,,49419,EFX,-11700000.0
2018-12-31,-6900000.0,0.0,-461500000.0,-64700000.0,-311000000.0,11800000.0,299800000.0,-112800000.0,-19700000.0,-12500000.0,672200000.0,315900000.0,-187900000.0,-37400000.0,46700000.0,-321900000.0,47200000.0,,,49419,EFX,-50500000.0
2017-12-31,-6900000.0,0.0,-349500000.0,29900000.0,-263700000.0,19200000.0,587300000.0,207100000.0,-110600000.0,4300000.0,816000000.0,290900000.0,-187400000.0,-1300000.0,4900000.0,-218200000.0,-65800000.0,,,49419,EFX,-14800000.0
2019-12-31,11630000.0,0.0,-897360000.0,494980000.0,-1120735000.0,33564000.0,1520534000.0,49535000.0,-12162000.0,-13000.0,2067643000.0,512918000.0,-1608749000.0,,34191000.0,,,,,49424,PSA,-68368000.0
2018-12-31,91927000.0,0.0,-515912000.0,-1784000.0,-1619588000.0,12525000.0,1711031000.0,-72034000.0,-12347000.0,-171000.0,2063637000.0,483646000.0,-1612680000.0,,-131040000.0,,,,,49424,PSA,-5302000.0
2017-12-31,91927000.0,0.0,-737064000.0,990376000.0,-992219000.0,42500000.0,1442217000.0,243480000.0,-14092000.0,-126000.0,1972889000.0,454526000.0,-1630347000.0,,76146000.0,,,,,49424,PSA,-38156000.0
2016-12-31,67420000.0,0.0,-699111000.0,77161000.0,-1148826000.0,25541000.0,1453576000.0,97018000.0,-15357000.0,-381000.0,1945336000.0,433314000.0,-1505758000.0,,58446000.0,,,-17615000.0,,49424,PSA,-42913000.0
2020-12-31,-4000000.0,-96600000.0,-113400000.0,-165000000.0,-773500000.0,2200000.0,744300000.0,-9400000.0,-239700000.0,,877500000.0,225600000.0,-370300000.0,,159700000.0,-36500000.0,-61100000.0,-2000000.0,,49457,WU,-700000.0
2019-12-31,48300000.0,94300000.0,632300000.0,-209000000.0,-1069800000.0,36700000.0,1058300000.0,477100000.0,-552600000.0,,914600000.0,257700000.0,-340800000.0,,-438200000.0,-48100000.0,-20700000.0,-2000000.0,,49457,WU,-4100000.0
2018-12-31,10200000.0,-126500000.0,-328800000.0,396000000.0,-357200000.0,10100000.0,851900000.0,135300000.0,-412400000.0,,821300000.0,264700000.0,-341700000.0,,51100000.0,-136700000.0,-26800000.0,-2000000.0,,49457,WU,-9200000.0
2017-12-31,-2600000.0,-417600000.0,-204600000.0,246200000.0,-570500000.0,13000000.0,-557100000.0,-33100000.0,-502800000.0,,742000000.0,262900000.0,-325600000.0,,657700000.0,-69100000.0,-54300000.0,-2000000.0,,49457,WU,-1300000.0
2020-12-31,,0.0,,,,,1343000000.0,,,,,,,,,,,,,49467,KEY,
2019-12-31,1043000000.0,0.0,-4918000000.0,-1276000000.0,2066000000.0,18000000.0,1717000000.0,54000000.0,-868000000.0,,2906000000.0,241000000.0,-804000000.0,,1260000000.0,-85000000.0,-121000000.0,59000000.0,,49467,KEY,4561000000.0
2018-12-31,878000000.0,0.0,-2482000000.0,-722000000.0,-17000000.0,20000000.0,1866000000.0,7000000.0,-1145000000.0,,2506000000.0,382000000.0,-656000000.0,,388000000.0,-99000000.0,-117000000.0,78000000.0,,49467,KEY,2074000000.0
2017-12-31,-1327000000.0,0.0,-2239000000.0,805000000.0,418000000.0,25000000.0,1296000000.0,-6000000.0,-730000000.0,,1815000000.0,407000000.0,-480000000.0,,200000000.0,-112000000.0,-119000000.0,55000000.0,,49467,KEY,1148000000.0
2020-08-02,30000000.0,145000000.0,2272000000.0,-791000000.0,-2987000000.0,23000000.0,1628000000.0,828000000.0,-12000000.0,-1000000.0,1544000000.0,328000000.0,-426000000.0,-30000000.0,-504000000.0,-299000000.0,-3000000.0,4000000.0,-20000000.0,49470,CPB,-1781000000.0
2019-07-28,30000000.0,125000000.0,153000000.0,-1159000000.0,-1591000000.0,23000000.0,211000000.0,-18000000.0,-8000000.0,-7000000.0,1427000000.0,363000000.0,-423000000.0,-11000000.0,704000000.0,-384000000.0,-1000000.0,553000000.0,36000000.0,49470,CPB,-1000000.0
2018-07-29,30000000.0,78000000.0,-7197000000.0,6439000000.0,5807000000.0,23000000.0,261000000.0,12000000.0,-109000000.0,-8000000.0,1410000000.0,279000000.0,-426000000.0,56000000.0,793000000.0,-407000000.0,27000000.0,-19000000.0,-84000000.0,49470,CPB,-97000000.0
2017-07-30,30000000.0,-48000000.0,-368000000.0,-34000000.0,-908000000.0,2000000.0,887000000.0,-29000000.0,-459000000.0,11000000.0,1236000000.0,193000000.0,-420000000.0,28000000.0,157000000.0,-338000000.0,-27000000.0,-30000000.0,46000000.0,49470,CPB,3000000.0
2020-12-31,108000000.0,-75000000.0,-341000000.0,-2027000000.0,-3836000000.0,133000000.0,958000000.0,-14000000.0,-1826000000.0,16000000.0,4147000000.0,3092000000.0,,320000000.0,261000000.0,-900000000.0,-456000000.0,11000000.0,,49480,FISV,-116000000.0
2019-12-31,68000000.0,337000000.0,-16602000000.0,14987000000.0,14191000000.0,156000000.0,893000000.0,518000000.0,-561000000.0,1000000.0,2928000000.0,1651000000.0,,-7000000.0,221000000.0,-721000000.0,-294000000.0,5000000.0,,49480,FISV,-391000000.0
2018-12-31,-3000000.0,82000000.0,-663000000.0,1034000000.0,-842000000.0,75000000.0,1187000000.0,90000000.0,-1946000000.0,1000000.0,1595000000.0,545000000.0,,-108000000.0,21000000.0,-360000000.0,-143000000.0,-7000000.0,,49480,FISV,-5000000.0
2017-12-31,-10000000.0,115000000.0,-657000000.0,325000000.0,-820000000.0,78000000.0,1246000000.0,25000000.0,-1223000000.0,1000000.0,1502000000.0,429000000.0,,-75000000.0,-162000000.0,-287000000.0,-66000000.0,7000000.0,,49480,FISV,-5000000.0
2020-04-30,,181600000.0,-271500000.0,-287600000.0,-688700000.0,7100000.0,779500000.0,289800000.0,-4200000.0,-4800000.0,1254800000.0,446500000.0,-396800000.0,-49100000.0,-137000000.0,-269300000.0,14200000.0,-4600000.0,12600000.0,49487,SJM,-7200000.0
2019-04-30,,43700000.0,-1924200000.0,1082000000.0,699000000.0,7100000.0,514400000.0,-91300000.0,-5400000.0,-7300000.0,1141200000.0,446300000.0,-377900000.0,-53000000.0,81000000.0,-359800000.0,62300000.0,-32000000.0,-5300000.0,49487,SJM,300000.0
2018-04-30,,19000000.0,-277600000.0,-560700000.0,-922000000.0,3900000.0,1338600000.0,25800000.0,-7000000.0,7400000.0,1218000000.0,413100000.0,-350300000.0,54700000.0,-640400000.0,-321900000.0,7700000.0,30900000.0,54000000.0,49487,SJM,-7900000.0
2017-04-30,40600000.0,2100000.0,-189700000.0,-30000000.0,-806100000.0,3900000.0,592300000.0,57000000.0,-437600000.0,-6200000.0,1059000000.0,419000000.0,-339300000.0,8900000.0,51900000.0,-192400000.0,-12700000.0,-38400000.0,-10400000.0,49487,SJM,800000.0
2020-12-31,-1400000.0,-157100000.0,-416800000.0,-79100000.0,-505100000.0,111900000.0,818800000.0,950400000.0,,119800000.0,1752500000.0,510700000.0,-347400000.0,-796500000.0,127300000.0,-99300000.0,1197500000.0,,,49492,AJG,-190500000.0
2019-12-31,-52000000.0,-137900000.0,-1376600000.0,999200000.0,638400000.0,101200000.0,668800000.0,387100000.0,,6100000.0,1119200000.0,474300000.0,-321100000.0,-434700000.0,41700000.0,-138800000.0,471500000.0,,,49492,AJG,-140900000.0
2018-12-31,-15600000.0,-197600000.0,-910300000.0,507900000.0,162000000.0,81900000.0,633500000.0,-68200000.0,-11300000.0,-85000000.0,765100000.0,408400000.0,-301800000.0,-783100000.0,42000000.0,-124400000.0,707900000.0,,,49492,AJG,-114700000.0
2017-12-31,-8900000.0,-218400000.0,-511000000.0,260600000.0,-47800000.0,60400000.0,481300000.0,367400000.0,-17700000.0,72000000.0,854200000.0,379600000.0,-282700000.0,-47700000.0,69400000.0,-129200000.0,188000000.0,,,49492,AJG,-68400000.0
2019-12-31,,24056000.0,-3501809000.0,1258205000.0,2492602000.0,2118016000.0,436482000.0,49934000.0,-21123000.0,-9796000.0,1068937000.0,613297000.0,-852134000.0,-8954000.0,-5739000.0,,,-14603000.0,,49499,O,-10362000.0
