endDate,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,otherCashflowsFromFinancingActivities,stockId,ticker,type,investments
2020-12-31,-81900000.0,-117900000.0,-191500000.0,-435900000.0,77300000.0,32900000.0,358600000.0,-400000.0,-150200000.0,-20200000.0,573600000.0,75100000.0,2200000.0,-127100000.0,-29100000.0,148300000.0,25300000.0,-62200000.0,,11,PNR,yearly,
2019-12-31,-63600000.0,-331900000.0,250000000.0,-17100000.0,-28500000.0,12500000.0,355700000.0,8200000.0,-150000000.0,4200000.0,353000000.0,80000000.0,-1500000.0,-122700000.0,13600000.0,-17500000.0,13300000.0,-58500000.0,-6900000.0,11,PNR,yearly,
2018-12-31,58300000.0,-68800000.0,-635400000.0,-407900000.0,-200000.0,13300000.0,347400000.0,-12000000.0,-500000000.0,-1400000.0,439100000.0,84600000.0,-7100000.0,-187200000.0,-40100000.0,-15300000.0,4400000.0,-48200000.0,901400000.0,11,PNR,yearly,
2017-12-31,15600000.0,2630400000.0,-2922400000.0,-3432600000.0,-62500000.0,37200000.0,666500000.0,-130600000.0,-200000000.0,56800000.0,620200000.0,87200000.0,-47700000.0,-251700000.0,-20500000.0,-13400000.0,-52700000.0,-39100000.0,-95700000.0,11,PNR,yearly,
2020-12-31,-1600000.0,-56700000.0,-200000.0,-321900000.0,-24900000.0,4500000.0,314300000.0,121700000.0,-208800000.0,10000000.0,490300000.0,67500000.0,5900000.0,-117300000.0,-7800000.0,-1900000.0,131200000.0,-47100000.0,-100000.0,37,ALLE,yearly,-3000000.0
2019-12-31,-11000000.0,-77600000.0,-17900000.0,-342200000.0,-10600000.0,6500000.0,401800000.0,68100000.0,-226000000.0,-300000.0,488200000.0,68500000.0,-7700000.0,-100600000.0,5400000.0,-6000000.0,25600000.0,-65600000.0,-4200000.0,37,ALLE,yearly,-3000000.0
2018-12-31,33900000.0,-443800000.0,-36100000.0,-183400000.0,-16600000.0,3200000.0,434900000.0,-175600000.0,-67300000.0,-6200000.0,457800000.0,70800000.0,-4300000.0,-79400000.0,-19700000.0,-8600000.0,-52300000.0,-49100000.0,-3800000.0,37,ALLE,yearly,-14300000.0
2017-12-31,400000.0,-50200000.0,10100000.0,-150900000.0,-1500000.0,7200000.0,273300000.0,153800000.0,-60000000.0,7700000.0,347200000.0,52600000.0,3100000.0,-60900000.0,-4400000.0,-22700000.0,35200000.0,-49300000.0,-47300000.0,37,ALLE,yearly,15600000.0
2020-12-31,19000000.0,-214000000.0,-4000000.0,-2049000000.0,58000000.0,66000000.0,2109000000.0,583000000.0,-706000000.0,39000000.0,2807000000.0,427000000.0,-3000000.0,-1379000000.0,43000000.0,95000000.0,22000000.0,-236000000.0,-26000000.0,45,ITW,yearly,14000000.0
2019-12-31,-16000000.0,-183000000.0,422000000.0,-2326000000.0,-84000000.0,85000000.0,2521000000.0,477000000.0,-1500000000.0,-9000000.0,2995000000.0,426000000.0,-18000000.0,-1321000000.0,98000000.0,40000000.0,17000000.0,-326000000.0,-12000000.0,45,ITW,yearly,20000000.0
