endDate,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,ticker,effectOfExchangeRate
2020-09-26,5335000000.0,-1981000000.0,-4289000000.0,2499000000.0,-86820000000.0,881000000.0,880000000.0,57411000000.0,-10435000000.0,-75992000000.0,80674000000.0,11056000000.0,-791000000.0,-14081000000.0,-127000000.0,6917000000.0,-126000000.0,6517000000.0,-7309000000.0,AAPL,
2019-09-28,58093000000.0,-2548000000.0,45896000000.0,-7819000000.0,-90976000000.0,-896000000.0,781000000.0,55256000000.0,24311000000.0,-69714000000.0,69391000000.0,12547000000.0,-1078000000.0,-14119000000.0,-289000000.0,245000000.0,-105000000.0,5076000000.0,-10495000000.0,AAPL,
2018-09-29,30845000000.0,9172000000.0,16066000000.0,432000000.0,-87876000000.0,30016000000.0,669000000.0,59531000000.0,5624000000.0,-75265000000.0,77434000000.0,10903000000.0,-745000000.0,-13712000000.0,828000000.0,-5322000000.0,-105000000.0,-27694000000.0,-13313000000.0,AAPL,
2017-09-30,-33542000000.0,8373000000.0,-46446000000.0,29014000000.0,-17974000000.0,-8480000000.0,555000000.0,48351000000.0,-195000000.0,-34774000000.0,64225000000.0,10157000000.0,-124000000.0,-12769000000.0,-2723000000.0,-2093000000.0,-105000000.0,10640000000.0,-12451000000.0,AAPL,
2020-12-31,-4718000000.0,45000000.0,-5401000000.0,2464000000.0,-4867000000.0,1112000000.0,,7264000000.0,229000000.0,-3486000000.0,10497000000.0,3440000000.0,-75000000.0,-3755000000.0,-215000000.0,-427000000.0,-90000000.0,9000000.0,-608000000.0,AMGN,
2019-12-31,19972000000.0,164000000.0,5709000000.0,-4514000000.0,-15767000000.0,406000000.0,,7842000000.0,-908000000.0,-7702000000.0,9150000000.0,2035000000.0,-28000000.0,-3509000000.0,-66000000.0,-504000000.0,-42000000.0,4000000.0,-618000000.0,AMGN,
2018-12-31,14987000000.0,-143000000.0,14339000000.0,-1121000000.0,-22490000000.0,1249000000.0,,8394000000.0,3145000000.0,-17794000000.0,11296000000.0,1930000000.0,-105000000.0,-3507000000.0,-3000000.0,-378000000.0,-68000000.0,350000000.0,-738000000.0,AMGN,
2017-12-31,-3193000000.0,424000000.0,-4024000000.0,71000000.0,-6594000000.0,207000000.0,,1979000000.0,559000000.0,-3351000000.0,11177000000.0,1904000000.0,-148000000.0,-3365000000.0,133000000.0,-58000000.0,51000000.0,-616000000.0,-664000000.0,AMGN,
2020-12-31,,0.0,,,,,,3135000000.0,,,,,,,,,,,,AXP,
2019-12-31,-3815000000.0,1771000000.0,-16707000000.0,2172000000.0,-519000000.0,-368000000.0,86000000.0,6759000000.0,-3362000000.0,-4685000000.0,13632000000.0,1188000000.0,152000000.0,-1422000000.0,,,3330000000.0,4282000000.0,-1688000000.0,AXP,232000000.0
