endDate,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,stockId,ticker
2020-12-31,827129000,,615701000,,613670000,533835000,1957816000,596852000,596852000,,,,,,2031000,2175536000,1578684000,217720000,18849000,,613670000,613670000,49352,SGEN
2019-12-31,827129000,,-158650000,,-158650000,373932000,153387000,-220545000,-220545000,,,,,,0,916713000,1137258000,763326000,61895000,,-158650000,-158650000,49352,SGEN
2018-12-31,565309000,,-246346000,,-222693000,252596000,1098000,-251498000,-251498000,,,,,,-23653000,654700000,906198000,653602000,5152000,,-222693000,-222693000,49352,SGEN
2017-12-31,565309000,,-158887000,,-125530000,167233000,-28568000,-195801000,-195801000,,,,,,-33357000,482250000,678051000,510818000,36914000,,-125530000,-125530000,49352,SGEN
2020-12-31,,,25884000,,19266000,15223000,43476000,0,26390000,1863000,,,,,6618000,43476000,17086000,0,-506000,,19266000,19266000,49355,BSVN
2019-12-31,,,15069000,,8225000,26562000,43501000,0,15195000,1744000,,,,,6844000,43501000,28306000,0,-126000,,8225000,8225000,49355,BSVN
2018-12-31,,,25797000,,25000000,12630000,40762000,0,26339000,1793000,,,,,797000,40762000,14423000,0,-542000,,25000000,25000000,49355,BSVN
2017-12-31,,,23789000,,23789000,12140000,38320000,0,24239000,1941000,,,,,0,38320000,14081000,0,-450000,,23789000,23789000,49355,BSVN
2019-12-31,492204000,,1033319000,2805856000,604914000,1806042000,3105841000,1146081000,1146081000,-338486000,-131796000,,,,172619000,18016085000,16870004000,14910244000,-98513000,,860700000,604914000,49357,CYD
2018-12-31,447668000,,1181067000,2751705000,695266000,1554512000,3122194000,1152456000,1152456000,-32442000,-71513000,,,,206667000,16263248000,15110792000,13141054000,28611000,,974400000,695266000,49357,CYD
2017-12-31,608181000,,1514028000,2627617000,888809000,1505123000,3376896000,1285368000,1285368000,-21776000,-53893000,,,,194172000,16197819000,14912451000,12820923000,228660000,,1319856000,888809000,49357,CYD
2017-01-01,588007000,,896232000,2317982000,525177000,1487409000,2975749000,957302000,957302000,-56969000,-62063000,,,,160270000,13643195000,12685893000,10667446000,-61070000,,735962000,525177000,49357,CYD
2019-12-28,,,14962000,,15271000,83811000,86777000,2227000,2227000,739000,-6444000,,,,-657000,374582000,372355000,287805000,12735000,-348000,15619000,14803000,49359,DXYN
2018-12-29,,,-22310000,,-21384000,92458000,89691000,-4146000,-4146000,1379000,-6491000,,,,-831000,405033000,409179000,315342000,-18164000,95000,-21479000,-21384000,49359,DXYN
2017-12-30,,,-1813000,,-9555000,96171000,101213000,4699000,4699000,343000,-5739000,,,,7509000,412462000,407763000,311249000,-6512000,-233000,-9322000,-9555000,49359,DXYN
2016-12-31,,,-8829000,,-5278000,97137000,95425000,-1908000,-1908000,196000,-5392000,,,,-3622000,397453000,399361000,302028000,-6921000,-71000,-5207000,-5278000,49359,DXYN
2020-12-31,,,-344622000,,-344615000,86281000,89113000,-121580000,-121580000,2860000,-14432000,,,,-7000,1467592000,1589172000,1378479000,-223042000,,-344615000,-344615000,49362,ARCH
2019-12-31,,,234047000,,233799000,97834000,421335000,220762000,220762000,-8882000,-16485000,,,,248000,2274352000,2053590000,1853017000,13285000,,233799000,233799000,49362,ARCH
2018-12-31,,,260101000,,312577000,103502000,526585000,268689000,268689000,23724000,-20471000,,,,-52476000,2451787000,2183098000,1925202000,-8588000,,312577000,312577000,49362,ARCH
2017-12-31,,,203195000,,238450000,89892000,484630000,208069000,208069000,10220000,-26905000,,,,-35255000,2324623000,2116554000,1839993000,-4874000,,238450000,238450000,49362,ARCH
2019-12-31,8582000,,-16891000,,-16902000,41359000,39526000,-10415000,-10415000,,-8009000,,,,11000,64649000,75064000,25123000,-6476000,,-16902000,-16902000,49363,NEOS
