Date,TotalRevenue,CostofRevenue,GrossProfit,OperatingExpense,OperatingIncome,NetNonOperatingInterestIncomeExpense,OtherIncomeExpense,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,DilutedNIAvailabletoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeasReported,TotalExpenses,NetIncomefromContinuing&DiscontinuedOperation,NormalizedIncome,InterestExpense,NetInterestIncome,EBIT,ReconciledCostofRevenue,ReconciledDepreciation,NetIncomefromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateforCalcs,TaxEffectofUnusualItems,Ticker,StockId,InterestIncome,EBITDA,EarningsfromEquityInterestNetofTax,AverageDilutionEarnings,CreditLossesProvision,NonInterestExpense,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,TotalMoneyMarketInvestments,RentExpenseSupplemental,OtherNonOperatingIncomeExpenses,SpecialIncomeCharges,IncomefromAssociates&OtherParticipatingInterests
ttm,2977000.0,1928700.0,1048300.0,586100.0,462200.0,-26500.0,-8400.0,427300.0,67100.0,353400.0,353400.0,,,,,462200.0,2514800.0,353400.0,361212.0,26500.0,-26500.0,453800.0,1928700.0,75400.0,360200.0,-1200.0,-1200.0,530400.0,0.0,-188.439,PNR,11,,,,,,,,,,,,
ttm,2712100.0,1534000.0,1178100.0,650100.0,528000.0,-50600.0,-120100.0,357300.0,55500.0,301700.0,301700.0,,,,,429100.0,2184100.0,301700.0,412098.0,52100.0,-50600.0,409400.0,1534000.0,80700.0,301700.0,-130700.0,-130700.0,620800.0,0.0,-20302.0,ALLE,37,1500.0,490100.0,,,,,,,,,,
ttm,14109000.0,8187000.0,5922000.0,2520000.0,3402000.0,-192000.0,78000.0,3288000.0,767000.0,2109000.0,2521000.0,,,,,3402000.0,10707000.0,2521000.0,2483417.0,221000.0,-192000.0,3509000.0,7920000.0,426000.0,2521000.0,49000.0,49000.0,3886000.0,0.0,11417.0,ITW,45,29000.0,,,,,,,,,,,
ttm,18202000.0,10019000.0,8183000.0,3425000.0,4758000.0,-205000.0,,4401000.0,544000.0,3857000.0,3857000.0,,,,,4606000.0,13444000.0,3857000.0,3857000.0,242000.0,-205000.0,4643000.0,10019000.0,376000.0,3857000.0,,,5019000.0,0.0,0.0,AMAT,48,37000.0,,,,,,,,,,,
ttm,9385000.0,6306000.0,3079000.0,2189000.0,890000.0,-274000.0,-1622000.0,-1006000.0,-236000.0,-770000.0,-770000.0,,,,,-634000.0,8495000.0,-770000.0,431050.0,274000.0,-274000.0,-732000.0,6306000.0,357000.0,-770000.0,-1570000.0,-1570000.0,1195000.0,0.0,-368950.0,NWL,52,,,,,,,,,,,,
ttm,1677984.0,1151313.0,526671.0,99158.0,427513.0,-167562.0,5890.0,265841.0,3327.0,250936.0,251274.0,,,,,,1250471.0,254962.0,253942.0,167562.0,-167562.0,433403.0,1151313.0,511678.0,254962.0,1033.0,1033.0,944048.0,0.0,12.928,MAA,54,,,1501.0,338.0,,,,,,,,
ttm,2571705.0,908328.0,1792747.0,883840.0,786183.0,-398929.0,497449.0,1007427.0,-2281.0,967287.0,1003321.0,,,,,1356544.0,1792168.0,913636.0,642110.0,390076.0,-368077.0,1397503.0,896635.0,842776.0,970377.0,449681.0,562757.0,1790598.0,0.0,121414.0,EQR,80,2817.0,,,36034.0,,,,,,,,
ttm,14190000.0,3512000.0,10678000.0,8530000.0,2148000.0,-127000.0,-845000.0,1176000.0,237000.0,928000.0,928000.0,,,,,1334000.0,12042000.0,928000.0,1577954.0,179000.0,-127000.0,1355000.0,3512000.0,640000.0,928000.0,-814000.0,-814000.0,2809000.0,0.0,-164046.0,EL,97,52000.0,,,,,,,,,,,
ttm,17858000.0,12408000.0,5450000.0,3626000.0,1824000.0,-149000.0,71000.0,1746000.0,331000.0,1410000.0,1410000.0,,,,,,16034000.0,1410000.0,1230896.0,149000.0,-149000.0,1895000.0,12408000.0,,1410000.0,221000.0,221000.0,1674000.0,0.0,41896.0,ETN,119,,,,,,,,,,,,
ttm,86266000.0,,,,,,,18995000.0,1101000.0,16473000.0,16473000.0,,,,,,,17894000.0,17894000.0,,,,,,17894000.0,,,,0.0,0.0,BAC,134,,,,,-11320000.0,55951000.0,32040000.0,903000.0,,,,
ttm,3052781.0,941755.0,2111026.0,1351278.0,759748.0,-30649.0,-5210.0,723889.0,103006.0,620883.0,620883.0,,,,,731386.0,2293033.0,620883.0,620883.0,49676.0,-30649.0,773565.0,762088.0,191649.0,620883.0,,,965214.0,0.0,0.0,XLNX,137,19027.0,,,,,,,,,,,
