endDate,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,stockId,ticker,type
2020-12-31,75700000,,432100000,,358600000,515300000,1066200000,475200000,475200000,,-23900000,,,,75000000,3017800000,2542600000,1951600000,-43100000,1500000,357100000,358600000,11,PNR,yearly
2019-12-31,78900000,,407500000,,355700000,525400000,1051500000,447200000,447200000,,-30100000,,,,45800000,2957200000,2510000000,1905700000,-39700000,-6000000,361700000,355700000,11,PNR,yearly
2018-12-31,76700000,,379800000,,347400000,502800000,1047700000,468200000,468200000,,-32600000,,,,58100000,2965100000,2496900000,1917400000,-88400000,25700000,321700000,347400000,11,PNR,yearly
2017-12-31,73200000,,172800000,,666500000,512900000,987500000,401400000,401400000,,-87300000,,,,58700000,2845700000,2444300000,1858200000,-228600000,552400000,114100000,666500000,11,PNR,yearly
2020-12-31,,,365400000,3200000,314300000,610800000,1184000000,573200000,573200000,,-51100000,,,,50900000,2719900000,2146700000,1535900000,-207800000,,314500000,314300000,37,ALLE,yearly
2019-12-31,,,475200000,3000000,401800000,677900000,1260600000,582700000,582700000,,-56000000,,,,73100000,2854000000,2271300000,1593400000,-107500000,,402100000,401800000,37,ALLE,yearly
2018-12-31,,,475200000,3000000,434900000,631500000,1175000000,543500000,543500000,,-54000000,,,,39800000,2731700000,2188200000,1556700000,-68300000,,435400000,434900000,37,ALLE,yearly
2017-12-31,,,395700000,3900000,273300000,580000000,1072900000,492900000,492900000,,-105700000,,,,119000000,2408200000,1915300000,1335300000,-97200000,,276700000,273300000,37,ALLE,yearly
2020-12-31,,,2704000000,1000000,2109000000,2150000000,5199000000,2895000000,2895000000,,-206000000,,,,595000000,12574000000,9679000000,7375000000,-191000000,,2109000000,2109000000,45,ITW,yearly
2019-12-31,,,3288000000,4000000,2521000000,2337000000,5922000000,3426000000,3426000000,,-221000000,,,,767000000,14109000000,10683000000,8187000000,-138000000,,2521000000,2521000000,45,ITW,yearly
2018-12-31,,,3394000000,4000000,2563000000,2371000000,6164000000,3604000000,3604000000,,-257000000,,,,831000000,14768000000,11164000000,8604000000,-210000000,,2563000000,2563000000,45,ITW,yearly
2017-12-31,,,3270000000,4000000,1687000000,2403000000,6008000000,3399000000,3399000000,,-260000000,,,,1583000000,14314000000,10915000000,8306000000,-129000000,,1687000000,1687000000,45,ITW,yearly
2020-10-25,2234000000,,4166000000,,3619000000,1013000000,7715000000,4468000000,4468000000,,-240000000,,,,547000000,17202000000,12734000000,9487000000,-302000000,,3619000000,3619000000,48,AMAT,yearly
2019-10-27,2054000000,,3269000000,,2706000000,960000000,6386000000,3372000000,3372000000,,-237000000,,,,563000000,14608000000,11236000000,8222000000,-103000000,,2706000000,2706000000,48,AMAT,yearly
2018-10-28,2022000000,,4396000000,,3038000000,999000000,7517000000,4496000000,4496000000,,-234000000,,,,1358000000,16705000000,12209000000,9188000000,32000000,,3038000000,3038000000,48,AMAT,yearly
2017-10-29,1781000000,,3816000000,,3519000000,895000000,6612000000,3936000000,3936000000,,-198000000,,,,297000000,14698000000,10762000000,8086000000,-120000000,,3519000000,3519000000,48,AMAT,yearly
2020-12-31,144000000,,-1006000000,26000000,-770000000,2026000000,3083000000,913000000,913000000,,-274000000,,,,-236000000,9385000000,8472000000,6302000000,-1919000000,,-770000000,-770000000,52,NWL,yearly
2019-12-31,149000000,,-852000000,33000000,107000000,2263000000,3235000000,823000000,823000000,,-303000000,,,,-1038000000,9715000000,8892000000,6480000000,-1675000000,-79000000.0,186000000,107000000,52,NWL,yearly
