endDate,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,ticker
2020-09-26,18752000000,,67091000000,,57411000000,19916000000,104956000000,66288000000,66288000000,,-2873000000,,,,9680000000,274515000000,208227000000,169559000000,803000000,,57411000000,57411000000,AAPL
2019-09-28,16217000000,,65737000000,,55256000000,18245000000,98392000000,63930000000,63930000000,,-3576000000,,,,10481000000,260174000000,196244000000,161782000000,1807000000,,55256000000,55256000000,AAPL
2018-09-29,14236000000,,72903000000,,59531000000,16705000000,101839000000,70898000000,70898000000,,-3240000000,,,,13372000000,265595000000,194697000000,163756000000,2005000000,,59531000000,59531000000,AAPL
2017-09-30,11581000000,,64089000000,,48351000000,15261000000,88186000000,61344000000,61344000000,,-2323000000,,,,15738000000,229234000000,167890000000,141048000000,2745000000,,48351000000,48351000000,AAPL
2020-12-31,4207000000,,8133000000,,7264000000,5730000000,19265000000,9328000000,9328000000,,-1038000000,,,,869000000,25424000000,16096000000,6159000000,-1195000000,,7264000000,7264000000,AMGN
2019-12-31,4116000000,,9138000000,,7842000000,5150000000,19006000000,9721000000,9721000000,19000000.0,-1289000000,,,,1296000000,23362000000,13641000000,4356000000,-583000000,,7842000000,7842000000,AMGN
2018-12-31,3737000000,,9545000000,,8394000000,5332000000,19646000000,10551000000,10551000000,26000000.0,-1392000000,,,,1151000000,23747000000,13196000000,4101000000,-1006000000,,8394000000,8394000000,AMGN
2017-12-31,3562000000,,9597000000,,1979000000,4870000000,18780000000,10340000000,10340000000,8000000.0,-1303000000,,,,7618000000,22849000000,12509000000,4069000000,-743000000,,1979000000,1979000000,AMGN
2020-12-31,,,4296000000,,3135000000,16588000000,22086000000,0,4296000000,1202000000,,,,,1161000000,31357000000,27061000000,9271000000,0,,3135000000,3036000000,AXP
2019-12-31,,,8429000000,,6759000000,13051000000,27322000000,0,8591000000,5680000000,,,,,1670000000,39983000000,31392000000,12661000000,-162000000,,6759000000,6631000000,AXP
2018-12-31,,,8122000000,,6921000000,11885000000,25513000000,0,8164000000,5464000000,,,,,1201000000,36986000000,28822000000,11473000000,-42000000,,6921000000,6787000000,AXP
2017-12-31,,,7425000000,,2748000000,11089000000,23793000000,0,7503000000,5201000000,,,,,4677000000,33872000000,26369000000,10079000000,-78000000,,2748000000,2646000000,AXP
2020-12-31,2476000000,,-14476000000,241000000,-11873000000,4493000000,-1690000000,-8659000000,-8659000000,,-2156000000,,,,-2535000000,58158000000,66817000000,59848000000,-5817000000,,-11941000000,-11873000000,BA
2019-12-31,3219000000,,-2259000000,317000000,-636000000,3642000000,4759000000,-2102000000,-2102000000,,-722000000,,,,-1623000000,76559000000,78661000000,71800000000,-157000000,,-636000000,-636000000,BA
2018-12-31,3269000000,,11604000000,71000000,10460000000,4525000000,19637000000,11843000000,11843000000,,-475000000,,,,1144000000,101127000000,89284000000,81490000000,-239000000,,10460000000,10460000000,BA
2017-12-31,3179000000,,10107000000,57000000,8458000000,4101000000,17393000000,10113000000,10113000000,,-360000000,,,,1649000000,94005000000,83892000000,76612000000,-6000000,,8458000000,8458000000,BA
