StockId,Ticker,SectorYahoo,IndustryYahoo
11,PNR,Industrials,Specialty Industrial Machinery
37,ALLE,Industrials,Security & Protection Services
45,ITW,Industrials,Specialty Industrial Machinery
48,AMAT,Technology,Semiconductor Equipment & Materials
52,NWL,Consumer Defensive,Household & Personal Products
54,MAA,Real Estate,REIT—Residential
80,EQR,Real Estate,REIT—Residential
97,EL,Consumer Defensive,Household & Personal Products
119,ETN,Industrials,Specialty Industrial Machinery
134,BAC,Financial Services,Banks—Diversified
137,XLNX,Technology,Semiconductors
144,BAX,Healthcare,Medical Instruments & Supplies
149,GPN,Industrials,Specialty Business Services
150,PFG,Financial Services,Insurance—Diversified
151,MAR,Consumer Cyclical,Lodging
185,LUV,Industrials,Airlines
187,IPGP,Technology,Semiconductor Equipment & Materials
200,MSI,Technology,Communication Equipment
219,PRGO,Healthcare,Drug Manufacturers—Specialty & Generic
257,MNST,Consumer Defensive,Beverages—Non-Alcoholic
276,ZBRA,Technology,Communication Equipment
321,ALB,Basic Materials,Specialty Chemicals
323,ECL,Basic Materials,Specialty Chemicals
344,CI,Healthcare,Healthcare Plans
350,SCHW,Financial Services,Capital Markets
361,FTV,Technology,Scientific & Technical Instruments
375,CNC,Healthcare,Healthcare Plans
470,VFC,Consumer Cyclical,Apparel Manufacturing
488,ADM,Consumer Defensive,Farm Products
541,PG,Consumer Defensive,Household & Personal Products
543,IDXX,Healthcare,Diagnostics & Research
562,AWK,Utilities,Utilities—Regulated Water
579,TXN,Technology,Semiconductors
619,MET,Financial Services,Insurance—Life
623,J,Industrials,Engineering & Construction
680,HII,Industrials,Aerospace & Defense
690,AJG,Financial Services,Insurance Brokers
691,PKG,Consumer Cyclical,Packaging & Containers
704,APH,Technology,Electronic Components
732,TYL,Technology,Software—Application
770,BDX,Healthcare,Medical Instruments & Supplies
794,FLS,Industrials,Specialty Industrial Machinery
795,CL,Consumer Defensive,Household & Personal Products
805,WU,Financial Services,Credit Services
812,CTXS,Technology,Software—Application
875,ADP,Industrials,Staffing & Employment Services
967,FRC,Financial Services,Banks—Regional
981,EQIX,Real Estate,REIT—Specialty
986,NCLH,Consumer Cyclical,Travel Services
1005,EXR,Real Estate,REIT—Industrial
1010,CFG,Financial Services,Banks—Regional
1018,MAS,Industrials,Building Products & Equipment
1092,ABT,Healthcare,Medical Devices
1120,PHM,Consumer Cyclical,Residential Construction
1125,FISV,Technology,Information Technology Services
1145,TGT,Consumer Defensive,Discount Stores
1157,XYL,Industrials,Specialty Industrial Machinery
1185,INCY,Healthcare,Biotechnology
1196,BKNG,Consumer Cyclical,Travel Services
1226,DIS,Communication Services,Entertainment
1231,MCO,Financial Services,Financial Data & Stock Exchanges
1244,HPE,Technology,Communication Equipment
1274,PAYC,Technology,Software—Application
1275,NWSA,Communication Services,Broadcasting
1282,SYY,Consumer Defensive,Food Distribution
1312,SPGI,Financial Services,Financial Data & Stock Exchanges
1323,PNC,Financial Services,Banks—Regional
1333,DVA,Healthcare,Medical Care Facilities
1350,NLSN,Industrials,Consulting Services
1358,MSFT,Technology,Software—Infrastructure
1368,HAL,Energy,Oil & Gas Equipment & Services
1369,TSCO,Consumer Cyclical,Specialty Retail
1370,FOX,Communication Services,Broadcasting
1381,MRK,Healthcare,Drug Manufacturers—General
1401,DISCK,Communication Services,Entertainment
1411,LYV,Communication Services,Entertainment
1421,IRM,Real Estate,REIT—Specialty
1467,RJF,Financial Services,Capital Markets
1509,NI,Utilities,Utilities—Regulated Gas
1512,KEYS,Technology,Scientific & Technical Instruments
1543,TRMB,Technology,Scientific & Technical Instruments
1547,GOOG,Communication Services,Internet Content & Information
1557,LMT,Industrials,Aerospace & Defense
1568,XRX,Technology,Information Technology Services
1597,EFX,Industrials,Consulting Services
1633,DAL,Industrials,Airlines
1636,BR,Technology,Information Technology Services
1641,AMT,Real Estate,REIT—Specialty
1642,ADSK,Technology,Software—Application
1651,REG,Real Estate,REIT—Retail
1670,PXD,Energy,Oil & Gas E&P
1690,BWA,Consumer Cyclical,Auto Parts
1703,IR,Industrials,Specialty Industrial Machinery
1716,DUK,Utilities,Utilities—Regulated Electric
1743,CMCSA,Communication Services,Entertainment
1761,CINF,Financial Services,Insurance—Property & Casualty
1764,FANG,Energy,Oil & Gas E&P
1784,HPQ,Technology,Computer Hardware
1790,FCX,Basic Materials,Copper
1795,WDC,Technology,Computer Hardware
1815,ESS,Real Estate,REIT—Residential
1867,PBCT,Financial Services,Banks—Regional
1870,ISRG,Healthcare,Medical Instruments & Supplies
1909,DISH,Communication Services,Entertainment
1962,COST,Consumer Defensive,Discount Stores
2015,HCA,Healthcare,Medical Care Facilities
2027,PEP,Consumer Defensive,Beverages—Non-Alcoholic
2036,IFF,Basic Materials,Specialty Chemicals
2062,OXY,Energy,Oil & Gas E&P
2070,LH,Healthcare,Diagnostics & Research
2078,EXC,Utilities,Utilities—Diversified
2081,KLAC,Technology,Semiconductor Equipment & Materials
2095,BK,Financial Services,Asset Management
