Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jan 28, 2021) 4","Short Ratio (Jan 28, 2021) 4","Short % of Float (Jan 28, 2021) 4","Short % of Shares Outstanding (Jan 28, 2021) 4","Shares Short (prior month Dec 30, 2020) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),ticker,stockId,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,"Shares Short (Aug 30, 2018) 4","Short Ratio (Aug 30, 2018) 4","Short % of Float (Aug 30, 2018) 4","Short % of Shares Outstanding (Aug 30, 2018) 4","Shares Short (prior month Jul 30, 2018) 4"
1.16,29.96%,16.75%,59.30,22.01,55.69,50.51,1.07M,1.01M,166.06M,165.41M,0.32%,90.68%,3.34M,2.75,2.27%,2.01%,2.66M,0.8,1.41%,0.76,1.38%,2.11,35.68%,"Feb 04, 2021","Apr 21, 2021",1489:1000,"Apr 30, 2018","Dec 30, 2020","Dec 30, 2020",11.88%,15.75%,7.12%,17.59%,3.02B,18.12,5.40%,1.07B,550.3M,357.1M,2.14,5.30%,82.1M,0.49,926.8M,44.00,1.26,12.68,573.6M,422.06M,PNR,11,,,,,,,,,,
1.13,-14.09%,16.75%,127.89,77.37,114.22,107.63,675.09k,775.91k,90.73M,90.26M,0.36%,98.93%,2.55M,3.97,3.54%,2.77%,2.98M,1.44,1.33%,1.28,1.18%,0.87,37.76%,"Mar 30, 2021","Mar 15, 2021",,,"Dec 30, 2020","Dec 30, 2020",11.56%,21.07%,11.87%,39.49%,2.72B,29.47,1.10%,1.18B,640.7M,314.3M,3.39,15.60%,480.4M,5.3,1.52B,182.98,2.20,9.09,490.3M,377.91M,ALLE,37,,,,,,,,,,
1.11,10.02%,16.75%,224.69,115.94,202.29,201.18,1.09M,1.05M,316.52M,289.51M,0.23%,80.16%,3.47M,3.64,1.17%,1.09%,3.67M,4.56,2.26%,4.42,2.22%,2.19,66.67%,"Apr 13, 2021","Mar 29, 2021",2:1,"May 25, 2006","Dec 30, 2020","Dec 30, 2020",16.77%,23.02%,11.79%,67.90%,12.57B,39.68,0.20%,5.2B,3.32B,2.11B,6.63,0.20%,2.56B,8.1,8.31B,261.16,2.52,10.04,2.81B,2.31B,ITW,45,,,,,,,,,,
1.47,95.58%,16.75%,124.50,36.64,103.83,77.29,7.23M,10.14M,917.66M,910.64M,0.41%,83.07%,10.08M,1.28,1.10%,1.10%,10.59M,0.88,0.74%,0.88,0.78%,1.36,20.81%,"Mar 17, 2021","Feb 23, 2021",2:1,"Apr 16, 2002","Oct 24, 2020","Jan 30, 2021",21.19%,26.77%,14.14%,38.31%,18.2B,19.88,24.00%,7.71B,5.25B,3.86B,4.18,26.70%,6.62B,7.24,5.45B,47.49,3.17,12.54,4.24B,2.89B,AMAT,48,,,,,,,,,,
0.99,33.33%,16.75%,26.89,10.44,24.50,19.90,3.27M,4.51M,424.3M,420.97M,0.80%,89.21%,9.87M,3.26,3.47%,2.33%,10.45M,0.92,3.78%,0.92,3.89%,3.77,,"Mar 14, 2021","Feb 24, 2021",2:1,"Sep 01, 1994","Dec 30, 2020","Dec 30, 2020",-8.20%,9.73%,3.76%,-17.31%,9.38B,22.13,2.50%,3.08B,1.27B,-770M,-1.82,-84.00%,981M,2.31,6.31B,161.79,1.28,9.13,1.43B,1.17B,NWL,52,,,,,,,,,,
0.67,-5.72%,16.75%,148.48,82.00,132.21,123.34,668.33k,519.18k,114.37M,113.57M,0.68%,93.48%,1.36M,2.07,1.66%,1.19%,1.29M,4.1,2.98%,4.00,2.91%,3.37,182.65%,"Jan 28, 2021","Jan 13, 2021",,,"Dec 30, 2020","Dec 30, 2020",15.19%,25.48%,2.38%,4.27%,1.68B,14.69,1.60%,985.21M,939.19M,250.94M,2.19,-44.30%,25.2M,0.22,4.59B,75.46,0.09,51.34,823.95M,787.96M,MAA,54,,,,,,,,,,
0.76,-21.94%,16.75%,87.19,45.43,62.42,57.42,2.59M,2.04M,372.3M,368.14M,1.51%,93.12%,9.99M,4.12,3.61%,2.68%,9.28M,2.41,3.60%,2.41,3.62%,3.26,98.37%,"Jan 14, 2021","Dec 30, 2020",2:1,"Oct 11, 2001","Dec 30, 2020","Dec 30, 2020",35.53%,30.57%,2.37%,8.71%,2.57B,6.92,-10.30%,1.66B,1.61B,910.55M,2.45,-12.70%,42.59M,0.11,8.37B,75.42,0.17,28.17,1.27B,1.14B,EQR,80,,,,,,,,,,
0.90,43.46%,16.75%,297.55,137.01,261.46,237.29,1.36M,1.42M,229.74M,228.2M,4.29%,91.68%,1.62M,1.31,0.71%,0.45%,1.93M,2.12,0.74%,1.49,0.52%,1.10,59.13%,"Mar 14, 2021","Feb 24, 2021",2:1,"Jan 22, 2012","Jun 29, 2020","Dec 30, 2020",6.54%,15.12%,7.15%,18.67%,14.19B,39.21,5.00%,10.75B,2.79B,928M,2.53,56.70%,5.56B,15.32,8.08B,148.17,1.90,14.95,3B,2.05B,EL,97,,,,,,,,,,
1.15,25.73%,16.75%,130.00,56.42,123.04,111.90,2.03M,2.07M,398.6M,397.7M,0.18%,83.12%,2.35M,1.23,0.59%,0.59%,3M,2.92,2.28%,2.92,2.33%,3.23,83.67%,"Nov 19, 2020","Nov 04, 2020",2:1,"Feb 28, 2011","Dec 30, 2020","Dec 30, 2020",7.90%,10.21%,3.53%,9.10%,17.86B,44.40,-10.50%,5.45B,2.63B,1.41B,3.49,5.10%,1.1B,2.76,8.38B,55.99,1.55,37.45,,,ETN,119,,,,,,,,,,
1.54,5.53%,16.75%,34.73,17.95,32.29,27.69,49.97M,43.15M,8.65B,8.63B,0.10%,71.10%,72.54M,1.36,0.94%,0.84%,73.55M,0.72,2.08%,0.72,2.11%,1.82,38.50%,"Mar 25, 2021","Mar 03, 2021",2:1,"Aug 29, 2004","Dec 30, 2020","Dec 30, 2020",24.11%,25.60%,0.68%,6.66%,74.21B,8.48,-6.40%,74.21B,,16.47B,1.87,-21.80%,937.1B,108.32,498.1B,,,28.72,,,BAC,134,,,,,,,,,,
