Market Cap (intraday) 5,Enterprise Value 3,Trailing P/E,Forward P/E 1,PEG Ratio (5 yr expected) 1,Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue 3,Enterprise Value/EBITDA 6,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jan 28, 2021) 4","Short Ratio (Jan 28, 2021) 4","Short % of Float (Jan 28, 2021) 4","Short % of Shares Outstanding (Jan 28, 2021) 4","Shares Short (prior month Dec 30, 2020) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),ticker
2.27T,2.31T,36.65,28.81,2.02,7.71,34.33,7.85,27.10,1.27,66.70%,15.88%,145.09,53.15,133.76,120.85,103.95M,82.53M,16.79B,16.77B,0.07%,59.66%,91.86M,0.79,0.55%,0.55%,91.09M,0.82,0.61%,0.81,0.60%,1.44,21.77%,"Feb 10, 2021","Feb 04, 2021",4:1,"Aug 30, 2020","Sep 25, 2020","Dec 25, 2020",21.74%,25.25%,13.36%,82.09%,294.14B,17.13,21.40%,104.96B,85.16B,63.93B,3.69,29.30%,76.83B,4.58,112.04B,169.19,1.16,3.94,88.92B,66.89B,AAPL
135.75B,160.52B,19.09,12.77,2.18,5.34,14.45,6.31,12.57,0.73,6.91%,15.88%,276.69,177.05,238.76,237.79,2.53M,2.69M,577.57M,576.53M,0.19%,77.99%,7.56M,2.97,1.31%,1.31%,6.96M,7.04,2.95%,6.40,2.70%,2.62,51.99%,"Mar 07, 2021","Feb 10, 2021",2:1,"Nov 21, 1999","Dec 30, 2020","Dec 30, 2020",28.57%,36.69%,9.51%,76.14%,25.42B,43.39,7.10%,19.27B,12.77B,7.26B,12.31,-5.20%,10.65B,18.43,33.44B,355.46,1.81,16.27,10.5B,9.04B,AMGN
103.32B,115.23B,34.03,14.34,6.17,3.29,4.49,3.67,,1.28,-4.63%,15.88%,138.04,67.00,121.62,109.24,3.97M,3.22M,805.2M,652.31M,0.10%,86.88%,8.45M,1.98,1.29%,1.05%,6.29M,1.72,1.34%,1.72,1.34%,1.52,45.62%,"Feb 09, 2021","Jan 06, 2021",10000:8753,"Oct 02, 2005","Dec 30, 2020","Dec 30, 2020",10.00%,13.70%,1.61%,13.61%,31.36B,38.95,-8.50%,22.09B,,3.04B,3.77,-15.10%,33B,40.99,45B,195.65,1.62,28.57,,,AXP
122.81B,163.13B,,39.08,-214.36,2.11,,2.81,-25.44,1.63,-38.18%,15.88%,347.89,89.00,208.26,186.53,18.21M,11.22M,564.53M,551.48M,0.12%,52.89%,11.7M,0.88,2.01%,2.01%,10.61M,,,2.06,0.97%,2.52,,"Mar 05, 2020","Feb 12, 2020",2:1,"Jun 08, 1997","Dec 30, 2020","Dec 30, 2020",-20.42%,-14.89%,-3.79%,,58.16B,102.21,-14.60%,-1.69B,-6.41B,-11.87B,-20.88,,25.59B,43.89,64.93B,,1.39,-31.45,-18.41B,-13.23B,BA
107.76B,136.05B,36.33,19.16,-21.68,2.58,7.04,3.26,19.39,0.95,41.51%,15.88%,200.17,87.50,189.13,164.89,2.87M,2.92M,543.26M,543.33M,0.19%,69.59%,4.46M,1.39,0.82%,0.82%,7.17M,4.12,2.08%,4.12,2.08%,2.86,75.46%,"Feb 18, 2021","Jan 18, 2021",2:1,"Jul 13, 2005","Dec 30, 2020","Dec 30, 2020",7.18%,10.98%,3.66%,20.01%,41.75B,76.73,-14.50%,10.13B,7.02B,3B,5.46,-29.00%,8.82B,16.2,37.16B,241.66,1.53,28.16,6.33B,1.97B,CAT
221.39B,213.33B,62.53,68.93,2.72,10.91,5.47,10.52,105.50,1.12,25.49%,15.88%,284.50,115.29,225.08,234.67,9.44M,5.38M,917.73M,881.75M,3.62%,83.47%,23.22M,3,2.93%,2.53%,21.83M,,,,,,0.00%,,,4:1,"Apr 17, 2013","Jan 30, 2020","Oct 30, 2020",17.53%,1.31%,0.31%,9.67%,20.29B,22.51,20.10%,12.86B,2.02B,3.56B,3.86,,9.49B,10.37,6.22B,15.44,1.22,44.10,4.26B,5.99B,CRM
201.05B,183.46B,19.91,13.95,2.13,4.19,5.14,3.82,12.04,0.91,-0.17%,15.88%,49.34,32.40,45.47,42.49,21.11M,23.6M,4.23B,4.22B,0.06%,74.11%,47.76M,2.39,1.13%,1.13%,40.85M,1.44,3.05%,1.44,3.05%,3.03,60.25%,"Apr 27, 2021","Jan 03, 2021",2:1,"Mar 22, 2000","Jul 24, 2020","Jan 22, 2021",21.09%,28.25%,9.12%,27.14%,48.03B,11.36,-0.40%,31.68B,15.24B,10.13B,2.39,-11.60%,30.59B,7.24,14.55B,37.20,1.61,9.26,15.11B,12.51B,CSCO
177.14B,200.94B,,17.46,-6.23,1.88,1.30,2.13,16.05,1.33,-17.14%,15.88%,112.33,51.60,89.42,83.43,10.38M,8.59M,1.93B,1.87B,0.04%,62.86%,14.74M,1.46,0.77%,0.77%,14.04M,5.16,5.58%,5.16,5.58%,4.35,,"Mar 09, 2021","Feb 15, 2021",2:1,"Sep 12, 2004","Dec 30, 2020","Dec 30, 2020",-5.87%,-7.39%,,-4.01%,94.47B,50.52,-28.10%,43.98B,12.52B,-5.54B,-2.96,,6.89B,3.69,34.81B,26.36,,70.57,10.6B,,CVX
346.36B,401.66B,,40.62,2.78,5.30,4.13,6.14,41.37,1.20,34.58%,15.88%,191.25,79.07,176.44,144.58,11.8M,10.04M,1.81B,1.81B,0.20%,65.57%,18.44M,1.94,1.02%,1.02%,20.86M,,,0.88,0.46%,1.38,,"Jan 15, 2020","Dec 12, 2019",10000:9865,"Jun 12, 2007","Oct 02, 2020","Oct 02, 2020",-4.38%,6.67%,1.38%,-2.44%,65.39B,36.17,-23.10%,21.51B,9.71B,-2.83B,-1.59,,17.91B,9.9,62.32B,63.91,1.32,46.18,7.62B,6.23B,DIS
42.9B,57.55B,35.16,16.06,-3.11,1.11,3.45,1.49,10.61,,19.40%,15.88%,61.31,21.95,56.48,50.70,4.05M,3.95M,743.92M,742.92M,0.09%,68.00%,8.57M,1.94,1.15%,1.15%,9.48M,2.8,4.95%,2.80,4.86%,,170.73%,"Dec 10, 2020","Nov 26, 2020",,,"Dec 30, 2020","Dec 30, 2020",3.18%,6.87%,2.71%,9.55%,38.54B,52.05,4.90%,5.18B,5.43B,1.22B,1.64,,5.15B,6.92,19.23B,147.84,1.72,16.73,6.23B,4.31B,DOW
104.02B,12.63B,12.22,9.33,0.61,2.51,1.27,0.31,,1.47,27.66%,15.88%,309.41,130.85,283.47,228.71,3.05M,3.03M,344.07M,354.13M,0.60%,70.68%,4.27M,1.2,1.25%,1.24%,4.38M,5,1.64%,5.00,1.64%,1.64,20.21%,"Mar 29, 2021","Feb 28, 2021",,,"Dec 30, 2020","Dec 30, 2020",22.81%,38.35%,0.88%,10.06%,41.46B,116.34,19.00%,35.97B,,8.92B,24.74,135.10%,550B,1544.94,440B,458.33,2.61,238.19,,,GS
298.28B,324.36B,23.97,22.31,2.71,2.37,194.16,2.58,14.79,1.02,14.99%,15.88%,292.95,140.63,273.22,275.33,4M,3.05M,1.08B,1.08B,0.10%,71.43%,8.4M,2.2,0.78%,0.78%,7.67M,6,2.17%,6.00,2.15%,2.13,50.65%,"Dec 16, 2020","Dec 01, 2020",3:2,"Dec 30, 1999","Feb 01, 2020","Oct 31, 2020",9.94%,15.51%,20.42%,"5,514.35%",125.63B,116.70,23.20%,37.57B,21.93B,12.49B,11.56,23.90%,14.65B,13.61,41.04B,2673.88,1.36,1.43,20.34B,16.76B,HD
