ticker,dow,sp500,exchange
NIE,False,False,
SNDX,False,False,nasdaq
UNVR,False,False,
NTIP,False,False,
MCK,False,True,
MS$I,False,False,
SENT,False,False,
PDEC,False,False,
TAN,False,False,
SQNS,False,False,
AE,False,False,
BJ,False,False,
GRNV,False,False,nasdaq
GXGXU,False,False,nasdaq
PDEX,False,False,nasdaq
MCBS,False,False,nasdaq
MLPY,False,False,
EMNT,False,False,
UFO,False,False,nasdaq
CHCT,False,False,
TMO,False,True,
IHF,False,False,
PHI,False,False,
AU,False,False,
SPTL,False,False,
BRC,False,False,
BRZU,False,False,
GWRE,False,False,
PTE,False,False,nasdaq
AMRB,False,False,nasdaq
HIPS,False,False,
REZI,False,False,
TFJL,False,False,
NUS,False,False,
LSPD,False,False,
EWO,False,False,
IAK,False,False,
WLFC,False,False,nasdaq
ESBK,False,False,nasdaq
ILF,False,False,
VACQ,False,False,nasdaq
NAOV,False,False,nasdaq
LMNL,False,False,nasdaq
WPM,False,False,
UCIB,False,False,
FBSS,False,False,nasdaq
PKB,False,False,
NNBR,False,False,nasdaq
FJNK,False,False,
USIG,False,False,nasdaq
USM,False,False,
RBCAA,False,False,nasdaq
EDIT,False,False,nasdaq
RYB,False,False,
AXAS,False,False,nasdaq
CBX,False,False,
SYTAW,False,False,nasdaq
INN$E,False,False,
AVLR,False,False,
BOH,False,False,
HALO,False,False,nasdaq
COWN,False,False,nasdaq
RYN,False,False,
TPX,False,False,
CUENW,False,False,nasdaq
SCCO,False,False,
COHR,False,False,nasdaq
LINX,False,False,
OLP,False,False,
FGNA.U,False,False,
BNDW,False,False,nasdaq
PETS,False,False,nasdaq
QFIN,False,False,nasdaq
CIIC,False,False,nasdaq
NHICU,False,False,nasdaq
XTL,False,False,
PRPB.W,False,False,
XYF,False,False,
CKH,False,False,
LCR,False,False,
BCM,False,False,
PBUS,False,False,
ITI,False,False,nasdaq
TMDV,False,False,
ORCL,False,True,
NICE,False,False,nasdaq
MPX,False,False,
BUD,False,False,
MRLN,False,False,nasdaq
JHAA,False,False,
HIGA,False,False,
QARP,False,False,
WIP,False,False,
CSSE,False,False,nasdaq
NEN,False,False,
PLMR,False,False,nasdaq
FEN,False,False,
TK,False,False,
CDOR,False,False,
SHG,False,False,
SLNO,False,False,nasdaq
VACQU,False,False,nasdaq
UMAR,False,False,
IMPX,False,False,
ICLN,False,False,nasdaq
OTRK,False,False,nasdaq
BAL,False,False,
ZGNX,False,False,nasdaq
PBI$B,False,False,
QQC,False,False,nasdaq
VIRT,False,False,nasdaq
HAUZ,False,False,
KESG,False,False,
