ticker,current_price,estimated_value,price_to_value
ELS,,,
PNR,61.02,35.352727420460255,1.7260337307012108
WSM,,,
ACM,,,
ALLE,119.92,80.46965075403207,1.4902512795358591
NC,,,
ITW,218.69,154.80982256910926,1.4126364617618092
CCX,,,
EIG,,,
CHE,,,
MAA,141.52,-0.8217162038963922,-172.22491089860978
DASH,,,
HT,,,
QTWO,,,
DM,,,
NWHM,,,
SQNS,,,
EQR,71.43,0.7147906341609802,99.93135973842801
AMG,,,
EL,285.22,231.6594191892241,1.2312039847040561
CSV,,,
ETN,133.26,54.151488732768705,2.460874172040266
JW.A,,,
BAC,38.53,66.89476773836954,0.575979277642367
SWI,,,
BAX,80.3,52.214640897617166,1.5378828355336733
GPN,205.47,-7.8076167891707104,-26.316609222546653
BEST,,,
BEDU,,,
LUV,61.05,-208.53727599239778,-0.2927534164310537
NINE,,,
EVH,,,
MSI,183.22,134.7493453127159,1.3597097601832286
PRGO,42.65,14.801655385226509,2.881434467294033
NP,,,
SPOT,,,
GOLF,,,
GLOB,,,
AX,,,
SXI,,,
PFS,,,
MWA,,,
DCO,,,
HPR,,,
ALB,151.5,52.06876152866056,2.9096140478895167
ECL,207.58,75.04963978449574,2.7659026824920656
YRD,,,
PD,,,
BRBR,,,
ASAN,,,
CI,243.26,492.52561311318055,0.49390324791920975
SCHW,66.05,46.33086189739975,1.425615611172279
WTTR,,,
FTV,67.68,21.48548817858284,3.1500331496989102
DS,,,
H,,,
RNG,,,
CNC,64.24,84.4680001191454,0.7605246946700167
QGEN,,,
CTK,,,
CRK,,,
ALLY,,,
RH,,,
VPG,,,
BBW,,,
PRTY,,,
EVA,,,
DEA,,,
RRC,,,
LU,,,
RBA,,,
SAR,,,
AMN,,,
ATR,,,
HSC,,,
MPLX,,,
VFC,79.63,56.96937807995959,1.3977684623524413
KSS,,,
FSLY,,,
OFG,,,
AP,,,
LEE,,,
ADM,56.83,25.27894928008441,2.24811559097405
VAPO,,,
SUP,,,
THC,,,
DAN,,,
PACE,,,
WHG,,,
CO,,,
KRP,,,
PG,128.01,85.9123210927726,1.4900074677503838
TROX,,,
HOME,,,
AWK,138.36,32.20632763775198,4.29605019101326
EPRT,,,
VVNT,,,
OCFT,,,
PRA,,,
CNNE,,,
MMP,,,
EBS,,,
LITB,,,
OLN,,,
MET,61.29,102.61458021460759,0.5972835426682876
J,123.37,81.23909211570891,1.5186038739118848
EGHT,,,
BV,,,
SOI,,,
VAC,,,
GWB,,,
NTB,,,
CAPL,,,
HII,197.26,314.91473442381493,0.6263917766849416
TRNO,,,
MOV,,,
AJG,121.44,30.073824647000798,4.038063047365376
PKG,131.02,134.00576033348864,0.9777191642653403
ATI,,,
SNR,,,
IH,,,
