ticker,current_price,estimated_value,price_to_value
AEHL,,,
VIVE,,,
FRHC,,,
WLDN,,,
GSKY,,,
AVEO,,,
OFIX,,,
ALOT,,,
ANDA,,,
OBSV,,,
STND,,,
AMAT,114.86,104.68209624483974,1.0972267858617895
NWL,26.09,14.15918705487078,1.8426199116442215
NBEV,,,
CBMB,,,
IOVA,,,
IRMD,,,
SONN,,,
SND,,,
OCUL,,,
QTT,,,
MBCN,,,
MGTX,,,
PFBI,,,
ICPT,,,
OXSQ,,,
EVER,,,
AZRX,,,
IQ,,,
IBKR,,,
DFHT,,,
FLWS,,,
BCOV,,,
CPSS,,,
UBSI,,,
NGMS,,,
XLNX,122.88,63.84458395535199,1.9246738311574376
PFG,60.39,87.50765599353736,0.690111045877631
MAR,152.28,1036.4275250140252,0.14692778445645713
BBIO,,,
GOSS,,,
LSAQ,,,
QCRH,,,
PS,,,
BNFT,,,
AROW,,,
IPGP,211.63,166.44508412361958,1.2714704138863084
COMM,,,
NAVI,,,
PLXP,,,
FCEL,,,
CSTR,,,
CZR,,,
AVNW,,,
OSN,,,
AMTX,,,
RADA,,,
MGIC,,,
AXGN,,,
PDCE,,,
PCSA,,,
AFMD,,,
BCML,,,
ATRA,,,
WDFC,,,
HLIT,,,
BCTG,,,
PDSB,,,
MTEM,,,
SSBI,,,
MCFT,,,
MNST,87.92,62.651202193783625,1.403325026837611
CVLB,,,
ENDP,,,
BECN,,,
EGOV,,,
ZBRA,459.95,172.5522260594819,2.6655697843124133
ALNA,,,
JOUT,,,
MORF,,,
PTPI,,,
GRBK,,,
SELB,,,
VTSI,,,
NEOS,,,
EXPO,,,
OLLI,,,
SUNW,,,
LQDT,,,
SMTX,,,
ATRO,,,
QADA,,,
ORBC,,,
CZWI,,,
MARA,,,
CFBK,,,
INVO,,,
VMAR,,,
ARAY,,,
METC,,,
NBRV,,,
NMMC,,,
BCPC,,,
SILC,,,
LMST,,,
HRMY,,,
JNCE,,,
FSFG,,,
CELH,,,
SYNH,,,
PTRS,,,
MTRX,,,
MCRI,,,
LKFN,,,
HBCP,,,
PCVX,,,
LSCC,,,
